time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,0.001788357709232482,0.013688038086463454,0.08878378575141174,0.0017826142815566587,0.010736753597830596,0.0014240750551575143
0.02,1,seg1,-0.14743376030980224,0.0031432432419193673,0.08720581883840109,0.00011890465268237069,0.001434352073383617,0.0013790955387316811
0.02,2,seg2,-0.322796303191996,-0.004823994682621373,0.08714012182786461,5.682647798423833e-05,-0.005054959295119395,0.0013114480319811606
0.02,3,seg3,-0.49835108793960287,-0.008309008447391459,0.08708994622534091,0.00014548361279393334,-0.007013982574775424,0.001259397719576158
0.02,4,seg4,-0.6736708002689696,-0.008770793703151097,0.08705552342940007,-2.9904170489026783e-05,-0.005890416370962348,0.0012231696333826064
0.02,5,seg5,-0.8486089013211484,-0.0049407950251191485,0.08704246075475153,-0.0006322235956133114,-0.0004266824863482252,0.001208475627297298
0.02,6,seg6,-1.022828409299923,0.006519809790301329,0.08706312189111542,-0.002018439704312274,0.012685488526447198,0.001227538614548801
0.04,0,head,-0.004469232866404135,0.039980831613318994,0.0879243206697327,0.007821143743315957,0.03708072051990924,0.0005646099734784721
0.04,1,seg1,-0.1490949297431068,0.009299144104347762,0.08642144586065872,0.0017287787723076575,0.007603866206015916,0.0005947225609893164
0.04,2,seg2,-0.32269944043624516,-0.0146509961535457,0.08644319050001734,4.176073590246796e-05,-0.014882426584627824,0.0006145167041338856
0.04,3,seg3,-0.49802633224820064,-0.023613128108941138,0.08652189657586067,-5.187915133404181e-05,-0.022320275163553505,0.0006913480700959096
0.04,4,seg4,-0.6730346687202069,-0.02040562775159571,0.08665830817686974,-0.0005691727863773769,-0.01753014214272773,0.000825954380852284
0.04,5,seg5,-0.8464443583040051,-0.0033439815074758185,0.08686164719543586,-0.0028099824851412366,0.0011520594500965679,0.0010276620679816328
0.04,6,seg6,-1.0162390739088172,0.03274229523343807,0.08714698308792726,-0.008825805995001247,0.038852220227107596,0.0013113998113606362
0.06,0,head,-0.011848937137962753,0.0634046475678962,0.08908953102072806,0.015005627560695362,0.06056514900518203,0.0017298203244738297
0.06,1,seg1,-0.15149380642022658,0.014466816266027784,0.08774347595500796,0.004084559963691397,0.012791326071909257,0.001916752655338555
0.06,2,seg2,-0.32237201759725437,-0.024489653574587336,0.08775349380787223,-0.00020376008621103052,-0.024723468454771587,0.0019248200119887787
0.06,3,seg3,-0.4971983591703272,-0.038814685992810447,0.0875836823620173,-0.0007532955290521061,-0.03752819798618277,0.001753133856252545
0.06,4,seg4,-0.6724241743292081,-0.031412185977651975,0.08726007329716796,-0.0010880344976111687,-0.028541400468162018,0.001427719501150504
0.06,5,seg5,-0.8436228273655234,-0.00021141509240533846,0.0867956164846488,-0.005657489160347302,0.004261032739733484,0.00096163135719457
0.06,6,seg6,-1.0056263072769374,0.060599068705638186,0.08614660981986368,-0.01967006692114172,0.06661969488403631,0.00031102654329705215
0.08,0,head,-0.023584128151316552,0.08751101738301552,0.08957546652260845,0.02653976610607296,0.08476835998601426,0.002215755826354221
0.08,1,seg1,-0.1561653009469385,0.017572820840141223,0.08741974326978048,0.008730040280537185,0.015936105579461585,0.0015930199701110759
0.08,2,seg2,-0.3218802183319562,-0.03833400016483345,0.0869538966119379,-0.0005803108527987377,-0.03857142890200677,0.0011252228160544553
0.08,3,seg3,-0.49603168222215205,-0.05906721937127933,0.08687756061948838,-0.0017513629635224843,-0.05778974049269069,0.0010470121137236277
0.08,4,seg4,-0.6714036799567162,-0.04765127396837613,0.08714784370463642,-0.001973329765789398,-0.04478841988165683,0.0013154899086189609
0.08,5,seg5,-0.8410967128315738,-0.0016311136642600931,0.08778460566802813,-0.008171699529720465,0.0028203575884718987,0.0019506205405739052
0.08,6,seg6,-0.9925077620403905,0.08350095395316448,0.08885964065767221,-0.032978778340189356,0.08941159645820558,0.003024057381105588
0.1,0,head,-0.04293340776694872,0.11323106281291652,0.0900553590608758,0.0456742983022583,0.11064856547500124,0.002695648364621578
