trial,generation,direction,score,lateral_term,forward_penalty,yaw_penalty,lateral_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,off_axis_forward_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,right,-2.4509190594375663,-0.1679243048703355,0.32404812141725686,0.416251386732576,1.8396215243516776,0.02592384971338055,0.025188645730550324,-0.025188645730550324,0.02592384971338055,0.0832502773465152,6.0,False,0.4206925928592682,-0.6095567110748106,0.4730666764224337,1.0551166205170948,-0.22128060787998427,-0.7868189558494012,0.22115515150157164,0.95266651605536,2.0426375639616055,-1.695060743206525,-0.20857006953437207,-0.10026365111480184
1,0,right,-3.810657657884469,-0.3719970365581543,0.2902986373583008,0.7285920150017048,2.8599851827907714,0.023223890988664064,0.055799555483723146,-0.055799555483723146,0.023223890988664064,0.14571840300034097,6.0,False,0.5585192441940308,-0.76497304723351,0.2804602529061562,0.9925834484573437,-0.36339279521246537,0.008410625490724577,0.3158457893840708,1.4507696434880315,2.9094691843951033,0.9774952899231018,-0.4088845832178001,-0.24124074895792358
2,0,right,-0.3140112030219023,0.6708637344089662,0.6333617329028521,1.0714219068208153,0.0,-0.050668938632228176,-0.10062956016134493,0.10062956016134493,0.050668938632228176,-0.21428438136416306,6.0,False,0.2905385494232178,-0.6226234053425327,0.11663469661472531,1.2640156410120225,-1.4058900766837774,-1.1984190980604867,0.3517844052103753,1.3432179491902652,-0.8227174242260604,1.4036731317672269,0.04929989909609611,-0.1134461526377506
3,0,right,-1.7716022817359025,-0.06755937153484666,0.49604109948348213,0.02529557737726451,1.3377968576742334,0.03968328795867857,0.010133905730226999,-0.010133905730226999,0.03968328795867857,0.005059115475452902,6.0,False,0.3184747099876404,-0.4044630347191074,0.7344535588982246,0.8030295593999077,0.24981970822099697,-2.4217627628711575,0.2699682102954969,0.7035777632696414,1.1643474375123155,0.14999710633199026,-0.09665023165566716,-0.12559233429962413
4,0,right,-2.4614966827155027,-0.14537944752844695,0.6458616955008811,0.26585940840813854,1.7268972376422347,-0.05166893564007049,0.02180691712926704,-0.02180691712926704,0.05166893564007049,-0.05317188168162771,6.0,False,0.20935532450675964,-0.34448018896946453,0.46290427576531595,1.354140360917332,2.1350923802833917,-2.9238553349927354,0.23915417753275794,1.138329237032157,-0.2440901633114474,0.21966863883487742,0.08538012847053866,0.07697494514073089
5,0,right,-3.3658375122781647,-0.2917866336529245,0.29010520479356455,0.8081665782527218,2.4589331682646227,0.023208416383485166,0.04376799504793868,-0.04376799504793868,0.023208416383485166,0.16163331565054437,6.0,False,0.3980388939380646,-0.4579894987416605,0.2889185693650187,0.6857748908489867,-1.6522030734459432,-1.8934859083853166,0.8468785410529295,0.399793067656233,2.7963243273411056,-2.569430360765721,-0.2714802658766051,-0.08933633903294957
6,0,right,-0.8724306782293698,0.10370080199118939,0.3439793995963732,0.5026244085254735,0.481495990044053,0.027518351967709857,-0.015555120298678409,0.015555120298678409,0.027518351967709857,-0.1005248817050947,6.0,False,0.1268853098154068,-0.2404222704054284,0.242957707304546,1.1921727882384632,2.49835268769435,0.040974110325955326,0.46082743438865587,1.1573758887582248,1.8333417102564828,1.227115868570654,0.012683878942301274,-0.05800245750600014
7,0,right,-4.711688886977308,-0.2333002697436312,1.5054083092509287,2.4919457925303647,2.1665013487181555,0.1204326647400743,0.034995040461544676,-0.034995040461544676,0.1204326647400743,-0.49838915850607296,6.0,False,0.606427788734436,-0.9269426888589791,0.18983701183946727,0.9879337658881433,2.647846886098031,1.899315704793258,0.4123051222815483,0.8589151699342251,-0.7672478347064553,1.82479034509835,-0.31006512518706364,-0.1933090972283536
8,0,right,-2.3162565766606242,-0.11477442906505068,0.3667221284321052,0.7220931696140798,1.5738721453252535,0.02933777027456842,0.0172161643597576,-0.0172161643597576,0.02933777027456842,0.14441863392281595,6.0,False,0.4928963780403137,-0.6570852333786456,0.22978547581958025,1.3902564405166618,1.7336436310920362,-2.3292950972274014,0.6876088661090348,0.7682441353673908,2.529658027971144,1.0379677591806935,-0.2778081571161329,-0.13916961982180265
9,0,right,-0.9594788281393689,0.039057281643348665,0.1912045986065618,0.10994329147695714,0.8047135917832566,0.015296367888524945,-0.0058585922465023,0.0058585922465023,0.015296367888524945,0.021988658295391428,6.0,False,0.250382661819458,-0.5875735466291907,0.0937336019227949,1.1414381118939265,0.16294151404525437,-2.3469486428333877,0.22437046768651023,0.9215956268793523,1.5229690856978078,0.7142512426028613,0.1653345509679982,0.20221189654828908
