cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.07217380145484897,0.022800857301870866,-0.004371475691585802,6.0,-9551.52828106545,False,0.2479562323743467,0.004371475691585802,0.05015757986739345,0.05668468833812432,True,True
-0.25,-0.075,0.0,-0.0717626437526049,0.025975623508195492,-0.0005228254033154597,6.0,-9451.640055470209,False,0.20485270734098115,0.0005228254033154597,0.06127210599185898,0.045500978916120025,True,True
-0.25,0.0,0.0,-0.07590901054607854,0.020457283083886325,-0.019469921382253563,6.0,-8682.025862242135,False,0.1752888274825856,0.019469921382253563,0.07590901054607854,0.020457283083886325,True,True
-0.25,0.075,0.0,-0.06584557261274158,0.05714035268004681,0.02504212848126482,6.0,-9270.213125131502,False,0.18501843186213135,0.02504212848126482,0.07948777973704856,0.035809945679579146,True,True
-0.25,0.15,0.0,-0.06694382927420388,0.04106832114453628,0.00662672945405518,6.0,-9048.519532000339,False,0.21301566209802905,0.00662672945405518,0.07853333693413661,0.0007734788386878698,True,True
-0.125,-0.15,0.0,0.05706459551327062,-0.15010885470010937,-0.20400708270161136,6.0,-13245.83718570365,False,0.18206462805486565,0.20400708270161136,0.07878495261585507,0.1399355836154236,True,False
-0.125,-0.075,0.0,-0.0360780539236513,0.038105894521488555,0.034473208928297305,6.0,-7176.365249620071,False,0.14387513985922365,0.034473208928297305,0.011331355024931792,0.05123754058792884,True,True
-0.125,0.0,0.0,-0.024006348854628448,0.04039613194822567,0.03808484830484785,6.0,-6440.03536723139,False,0.10877299778920993,0.03808484830484785,0.024006348854628448,0.04039613194822567,True,True
-0.125,0.075,0.0,-0.037180932346933766,0.03729612475297399,0.032361507308637995,6.0,-7143.380264277822,False,0.09557076358435734,0.032361507308637995,0.05107108433819303,0.01285173125683226,True,True
-0.125,0.15,0.0,-0.018229045120464436,0.07669446127068888,0.12749770198323196,6.0,-8306.608130668974,False,0.12951346962490948,0.12749770198323196,0.07058826748230124,0.035094657277885175,True,False
