trial,generation,score,target_m_s,activity_scale,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,target_abs_error_m_s,yaw_rate_rad_s,terminated,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,-0.8775532169258525,0.0375,0.6,0.018737070875493575,-0.0892902541576952,0.0892902541576952,0.051790254157695205,-0.22300053259755415,False,-0.6798563772904489,0.013758288081069592,1.0374647184139887,2.97286611651168,-2.5445219663982814,0.7545115012109029,0.8022074979594055,-1.3961296999007369,0.35718063645356146,0.33720236591148045,-0.2418027836521282
1,0,-0.035543074683604625,0.0375,0.6,-0.0556809736678589,-0.01947450616077793,0.01947450616077793,0.018025493839222067,-0.05979168196349316,False,-0.6138887013355285,0.1406105767633205,1.1885425519410893,2.9327803648936026,-0.3502777092645011,0.40168336737153054,1.3644241292980903,-0.7382831229811506,0.8866898413601367,-0.07401953984288756,-0.35933401788975666
2,0,-4.293222240709063,0.0375,0.6,-0.008626382208783796,0.016852290176103454,-0.016852290176103454,0.05435229017610345,0.09890017786208682,False,-0.645879694949147,0.022820473709015375,1.1677056143310205,2.3162974181090075,-3.1283686070528436,0.4774112599550443,1.0955101998919916,-0.0785405831214212,-1.2262822600165337,-0.023834740425521916,-0.1928011838898372
3,0,-5.38566762353069,0.0375,0.6,0.0730727312764607,0.03306225462553857,-0.03306225462553857,0.07056225462553857,0.03799156794162754,False,-0.6406949487440162,0.11486409850148696,1.1911442938987027,2.6517604264835937,-1.5255997071377494,0.9005825592899173,0.9338519192062625,1.0483810766640786,-1.045376547844643,-0.028110406408933142,-0.32402666577408834
4,0,-5.691049558049007,0.0375,0.6,-0.08871291647697553,0.031345867439160104,-0.031345867439160104,0.0688458674391601,0.10024250892708671,False,-0.3909589408818295,0.025800072052346856,1.2104010776045104,1.768504313966777,-3.1330492073887877,0.6092277288712898,1.1060913754476105,-0.8396902006392533,-0.045962596669298694,-0.10482497380233757,-0.2979924757730926
5,0,1.086582393826113,0.0375,0.6,-0.020467215207455806,-0.043571821946835225,0.043571821946835225,0.006071821946835226,-0.2010803670455598,False,-0.233989131229017,0.00588007691082535,1.1494424393034728,2.993066282002723,-2.413770697166756,0.503018390264475,0.680977959630518,-1.1010187162808431,-1.1663551361447588,0.13826890359656274,-0.3940967940253749
6,0,-1.3901728808723406,0.0375,0.6,-0.021571156599605203,-0.104506985651442,0.104506985651442,0.067006985651442,-0.2564521591919174,False,-0.3224402670073998,0.2499945544010727,0.9220347887378497,1.1890781056230368,-0.8147844277854666,0.6536608442063174,1.4460030152194934,-1.1017229003491869,-0.7107303132486362,0.22341399794328165,-0.3120916756932437
7,0,-1.1744427408157356,0.0375,0.6,0.01874109705649093,-0.003404305054287025,0.003404305054287025,0.034095694945712976,-0.05774214847707252,False,-0.6072583744076309,1.8504297758322088e-07,1.015649252238612,2.7843476133649956,-2.951048742801601,0.8937680022619943,1.235520229962249,2.3000590634023226,-1.0316554949426098,-0.1642877550358135,-0.3910594931597111
8,0,-5.367433912285669,0.0375,0.6,0.11229912412838346,0.005956444445173368,-0.005956444445173368,0.04345644444517337,-0.25122116263394934,False,-0.6083492276582936,0.05411819581477664,1.4950553785308163,2.336454976347447,-0.4973071501730413,0.7839229705233766,0.7362097630805785,0.5036691963071016,1.1331630082071653,-0.21252413340296827,-0.3999510921723533
9,0,0.0911027479984377,0.0375,0.6,0.08418457449523871,-0.021888222505311045,0.021888222505311045,0.015611777494688953,0.014298597312198735,False,-0.6234590822549093,0.20484384942878106,1.3021621464249482,-0.24871336827476753,-0.8960938776110243,0.584453958474389,0.9765664750923632,0.3117206630467666,-0.7918275363523075,-0.006468939378394101,-0.2426411623712538
10,0,1.2910779404662986,0.0375,0.6,-0.010010800891140141,-0.0479377870333997,0.0479377870333997,0.010437787033399704,-0.14110324703809982,False,-0.5191735972587113,0.025657490272182372,1.370998711643306,2.7771608094761007,-0.7290141519894493,0.6014129478573121,1.132295382060492,-1.6756422458093359,0.8209782481422856,0.0011790935964889337,-0.39345619752905525
11,0,-0.11934921749753913,0.0375,0.6,-0.026682990646226312,-0.07105222808186779,0.07105222808186779,0.03355222808186779,-0.16766652737111296,False,-0.584482486505697,0.1895813282268023,1.3675955070469459,2.5774073200747827,-2.0587939529318717,0.5656059291805138,0.9924096961497211,-1.1753346433652667,0.9533169851115755,0.16186870301828493,-0.3368981552454677
12,1,-0.8622811303751847,0.0375,0.6,0.0014382508057902714,-0.0030641676496546626,0.0030641676496546626,0.034435832350345336,-0.010364382942716022,False,-0.2349949099687091,0.002070927127022061,1.4887196089190358,2.215598019249251,-1.0473014782565966,0.2826058850647838,0.7119967691218996,-0.11617585528584673,0.00025951963718018334,0.1611169225646384,-0.3983767237202466
13,1,-1.4272988392388244,0.0375,0.6,-0.020662447582580196,-0.00035015313817314303,0.00035015313817314303,0.03714984686182685,-0.058342939768092496,False,-0.6139095935600577,0.12148106211051116,1.1970069063536468,2.749861526067951,-1.6478163900317286,0.46280805508935735,1.2150023125556662,-1.2405098501068532,0.8030129245590358,-0.10042839894381994,-0.30250870310977795
14,1,-0.9621336665832957,0.0375,0.6,0.008306372829144084,-0.09155848673183013,0.09155848673183013,0.054058486731830134,-0.2602848985307784,False,-0.7998675414678723,0.0019232185100478052,1.269446437406956,1.9661791026469944,-0.03279160924064817,0.724153189422488,1.4780443193202628,-1.2889803452029287,1.4529729126289705,0.29439182961222055,-0.2887855139904976
15,1,-6.784617350811182,0.0375,0.6,-0.08336390904942124,0.061197004229863454,-0.061197004229863454,0.09869700422986345,0.08659952758821247,False,-0.31795546651404216,0.11816087171180198,1.1597059918794015,2.9864478739161857,-2.059688711248925,0.8199542776722624,1.000938862715367,-0.8952102955898917,0.98551648353396,-0.07674588494213619,-0.392776223670747
16,1,1.0528575476451008,0.0375,0.6,-0.07006144506879083,-0.03731826616392143,0.03731826616392143,0.00018173383607857085,-0.06972160591362216,False,-0.5825927467102466,0.02247214942239092,1.1428682514866175,2.99840968802185,-1.2333054058390898,0.7320127970993011,0.950822273616016,-1.1482006505495357,0.21431818883221876,0.13756510605294792,-0.39625151641499445
17,1,0.19574065215178982,0.0375,0.6,-0.04227437572620952,-0.021694601344737118,0.021694601344737118,0.01580539865526288,-0.09838450533020586,False,-0.13692634956552507,0.17583947969743186,1.1653499801521807,1.7719465167176836,-1.8161366438818105,0.7431311706481581,1.2396481566928572,-1.4357857901674413,0.0903613445871363,-0.03895530567280142,-0.399999303232445
18,1,-1.0433224704167778,0.0375,0.6,0.021429709842264093,-0.09478940599230495,0.09478940599230495,0.057289405992304955,-0.22313872711372917,False,-0.6278248787564275,0.10550929280140314,0.9052742271883457,2.262714540207722,-0.7819307983883279,0.47438212602699126,1.355871270898123,-2.667446135342547,-0.7083541992558273,0.20689318995152162,-0.2893937636803848
19,1,-4.472149014482665,0.0375,0.6,-0.09757870522018357,0.006096709215498042,-0.006096709215498042,0.04359670921549804,0.03547677152318437,False,-0.6877989220161993,0.10545888082436906,1.18422262622923,1.9282435687736488,-1.5376789812842697,0.5493571268293113,1.2281339044803532,-0.5525149910438891,-0.2955578829885481,-0.15693932765445961,-0.16842238397040754
20,1,-3.1580858647351713,0.0375,0.6,-0.0074363213344531935,0.0005180771178007818,-0.0005180771178007818,0.03801807711780078,-0.00328714884479564,False,-0.3356805328174204,0.00031333635792652636,1.1007741454644446,1.6024634644244928,0.44801372133526174,0.40218981805087195,0.7921055187778298,-1.4492294069858054,-0.4689678433729565,-0.17720229608366056,-0.39958465988734054
21,1,1.1337243228698135,0.0375,0.6,0.018007441650428887,-0.04654814110418216,0.04654814110418216,0.009048141104182159,-0.1779093530666714,False,-0.44942280558981906,0.293558805457542,1.3740577462271175,1.841034225031219,-0.6220576092451626,0.37888092287770603,1.310637557984326,-2.139609115092734,0.8163061891688379,-0.006652594433273873,-0.39870207742730884
22,1,-2.857921148141825,0.0375,0.6,0.10710184228044822,-0.10676084835120815,0.10676084835120815,0.06926084835120816,-0.41659007793229225,False,-0.5411907753130323,0.06764846266606997,1.22862300235946,2.518544338373477,-0.7754770607962875,0.6608127851403511,1.3667531866940503,-0.15336377363086218,-0.17930451529792135,0.07006000669662305,-0.38577884022711384
23,1,0.7180316386467586,0.0375,0.6,0.04526750242910323,-0.02643658306265506,0.02643658306265506,0.011063416937344937,-0.0778461926228402,False,-0.6946741179934721,0.24914799710220267,1.453550749861015,2.889373397614385,-0.21792057486872096,0.4651776239284757,0.9504457358534802,1.1548852336822328,-0.5620882220629779,0.17841694220399584,-0.39445247452935595
24,2,-1.2489386543767669,0.0375,0.6,-0.06216548000374316,-0.08280551290393319,0.08280551290393319,0.04530551290393319,-0.25757420548440746,False,-0.5261022778333924,0.3770349186965213,1.4823541740927184,2.9215590340342112,-0.27666180893031544,0.7017487726455157,1.225687771067343,-0.5881800296378934,1.5210888740775426,0.034511028471746696,-0.39991240040777076
25,2,-0.05475916871275405,0.0375,0.6,-0.0051694359256795755,-0.07034963212281299,0.07034963212281299,0.03284963212281299,-0.22075176979706412,False,-0.4422301980798725,0.14253518714416574,1.379984847515074,2.9998059625350644,-0.5193639268556303,0.6072279643290089,1.1244094499984238,-1.3641932885239108,0.45996113716133946,0.16059809899190625,-0.37095609258258555
