time_s,terrain,mode,video_file,cmd_vel_m_s,cmd_yaw_rad_s,gait_blend,slide_pos_m_00,slide_pos_m_01,slide_pos_m_02,slide_pos_m_03,slide_pos_m_04,slide_pos_m_05,yaw_pos_rad_00,yaw_pos_rad_01,yaw_pos_rad_02,yaw_pos_rad_03,yaw_pos_rad_04,slide_vel_m_s_00,slide_vel_m_s_01,slide_vel_m_s_02,slide_vel_m_s_03,slide_vel_m_s_04,slide_vel_m_s_05,yaw_vel_rad_s_00,yaw_vel_rad_s_01,yaw_vel_rad_s_02,yaw_vel_rad_s_03,yaw_vel_rad_s_04,segment_gravity_00_x,segment_gravity_00_y,segment_gravity_00_z,segment_gravity_01_x,segment_gravity_01_y,segment_gravity_01_z,segment_gravity_02_x,segment_gravity_02_y,segment_gravity_02_z,segment_gravity_03_x,segment_gravity_03_y,segment_gravity_03_z,segment_gravity_04_x,segment_gravity_04_y,segment_gravity_04_z,segment_gravity_05_x,segment_gravity_05_y,segment_gravity_05_z,segment_gravity_06_x,segment_gravity_06_y,segment_gravity_06_z,segment_gyro_rad_s_00_x,segment_gyro_rad_s_00_y,segment_gyro_rad_s_00_z,segment_gyro_rad_s_01_x,segment_gyro_rad_s_01_y,segment_gyro_rad_s_01_z,segment_gyro_rad_s_02_x,segment_gyro_rad_s_02_y,segment_gyro_rad_s_02_z,segment_gyro_rad_s_03_x,segment_gyro_rad_s_03_y,segment_gyro_rad_s_03_z,segment_gyro_rad_s_04_x,segment_gyro_rad_s_04_y,segment_gyro_rad_s_04_z,segment_gyro_rad_s_05_x,segment_gyro_rad_s_05_y,segment_gyro_rad_s_05_z,segment_gyro_rad_s_06_x,segment_gyro_rad_s_06_y,segment_gyro_rad_s_06_z,action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,velocity_estimate_m_s,yaw_rate_estimate_rad_s
0.02,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,6.237133461440997e-05,0.0002395869605544446,0.0002902815548066162,0.0001947532691840509,-0.0004546573250140078,-0.0011311300899548246,-0.0070984348172355655,0.05446060636031855,0.05513799764827529,-0.07541879108794597,-0.07494842682405292,0.006041357207964952,0.014208105841733144,0.020229513133874947,0.019108790412892363,-0.04267010987362236,-0.08497601285612989,0.04742759798032141,3.54162121233029,3.0071672671432936,-3.3087681091253778,-4.221605819676625,0.0033274150919169188,-0.0021534578409045935,-0.9999921321868896,0.0033274150919169188,-0.0021534578409045935,-0.9999921321868896,0.003311838721856475,-0.0021773369517177343,-0.9999921321868896,0.0034112404100596905,-0.0020180463325232267,-0.9999921321868896,0.003506219247356057,-0.0018481066217646003,-0.9999921321868896,0.0033708722330629826,-0.0020847762934863567,-0.9999921321868896,0.0032248739153146744,-0.002304182853549719,-0.9999921321868896,0.17802931368350983,2.6474268436431885,0.1964312642812729,2.647291660308838,-0.18011601269245148,0.19635044038295746,2.63978910446167,-0.17869386076927185,0.19762566685676575,-0.8211055397987366,-0.18512223660945892,0.18890200555324554,-3.983165740966797,-0.19168317317962646,0.17942626774311066,-0.3176835775375366,-0.18176554143428802,0.19254070520401,3.9223151206970215,-0.17006267607212067,0.20554588735103607,0.0,0.12990380823612213,0.12990380823612213,1.8369702788777518e-17,-0.12990380823612213,-0.12990380823612213,0.0,0.14265848696231842,0.08816778659820557,-0.08816778659820557,-0.14265848696231842,0.010420546863567508,2.752309378053973
0.04,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0003011994710230058,0.0007609294293795906,0.0007642935078006665,0.0003935846655291048,-0.0015862826879784445,-0.003636409614896558,0.00627143556625267,0.12372164518784902,0.12633742565827327,-0.15891522505632785,-0.15585607710304747,0.012947761654412608,0.022426169775362367,0.01674099263384268,0.019756714599500045,-0.07043789996705734,-0.1336016447777392,0.354593536251703,3.456247366478935,3.3552571752499323,-4.101564528263344,-4.0259536882925415,0.005374405533075333,0.0102275675162673,-0.9999332427978516,0.005374405533075333,0.0102275675162673,-0.9999332427978516,0.005317434202879667,0.010257302783429623,-0.9999332427978516,0.004085774999111891,0.010807118378579617,-0.9999332427978516,0.0027668338734656572,0.01121748611330986,-0.9999332427978516,0.004419688135385513,0.010674910619854927,-0.9999332427978516,0.005943557247519493,0.009907647967338562,-0.9999332427978516,-0.1346484124660492,2.7007672786712646,-0.657852053642273,2.700852394104004,0.13251958787441254,-0.6579344868659973,2.3436601161956787,0.13645921647548676,-0.6571895480155945,-1.09286367893219,0.21482767164707184,-0.6367285251617432,-4.631541728973389,0.2920709252357483,-0.6067839860916138,-0.4594113528728485,0.194436714053154,-0.6430458426475525,3.588252305984497,0.09612258523702621,-0.6633877754211426,0.01879998669028282,0.22921214997768402,0.2104121446609497,-0.01879998669028282,-0.22921214997768402,-0.2104121446609497,0.01879998669028282,0.2472040206193924,0.13398051261901855,-0.16439953446388245,-0.23558500409126282,0.0714572423066781,2.6075294359145667
0.06,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0005549521753589644,0.0008389935050029712,0.0010964278194326243,0.0007928238417452935,-0.0036177983510052407,-0.005722578712118764,0.042719968162123804,0.19323246561247173,0.18212056984266028,-0.24106675039200834,-0.23396264711841575,0.004673396416006046,-0.007534947942537725,-0.013522167744710278,0.03201729656051414,-0.05166116841675045,-0.06656981780241901,1.642730421318658,3.819230409657402,2.0631107902108043,-3.7464022342496013,-3.462820115960693,-0.0048140957951545715,-0.005441357847303152,-0.9999735951423645,-0.0048140957951545715,-0.005441357847303152,-0.9999735951423645,-0.004595831502228975,-0.0056269196793437,-0.9999735951423645,-0.003478568745777011,-0.006378358229994774,-0.9999735951423645,-0.0022942835930734873,-0.006893486250191927,-0.9999735951423645,-0.0038275213446468115,-0.006175271235406399,-0.9999735951423645,-0.00511929951608181,-0.005155256018042564,-0.9999735951423645,-0.1986408680677414,3.6235363483428955,-0.11821947246789932,3.623688220977783,0.19578467309474945,-0.11833009868860245,1.8486813306808472,0.2017001062631607,-0.11047733575105667,-2.017808675765991,0.2216588854789734,-0.07124398648738861,-4.304205417633057,0.2325841188430786,-0.031246209517121315,-0.45218339562416077,0.216131791472435,-0.08329682052135468,3.141648054122925,0.19049502909183502,-0.128651961684227,0.0504634752869606,0.304922878742218,0.254459410905838,-0.0504634752869606,-0.304922878742218,-0.254459410905838,0.0504634752869606,0.32274681329727173,0.14900504052639008,-0.23065665364265442,-0.2915586829185486,0.21014789416158877,3.4542304144675926
0.08,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0006086116097287503,0.0007454153445671816,0.0009665594095129241,0.0010608758307827787,-0.004100547337883306,-0.006839065346668594,0.09739144553899574,0.2681779595130665,0.20341001484212862,-0.3124299946718253,-0.3024053059742585,0.010330452817608568,0.032857184026561466,-0.041522833859501874,0.008434609350494046,-0.031117671829086407,-0.04289956462380622,1.7589777201922119,3.8662994436614047,0.9785715813646374,-3.66836638350635,-3.8163529217033965,0.0018889597849920392,0.0036504045128822327,-0.9999915361404419,0.0018889597849920392,0.0036504045128822327,-0.9999915361404419,0.0015384698053821921,0.003811395028606057,-0.9999915361404419,0.0005051096086390316,0.004079029895365238,-0.9999915361404419,-0.0003212907467968762,0.004097608383744955,-0.9999915361404419,0.0009243951644748449,0.004004886373877525,-0.9999915361404419,0.002048033056780696,0.003563591279089451,-0.9999915361404419,0.5373257398605347,3.5532443523406982,-0.11413510143756866,3.552816152572632,-0.5401263236999512,-0.11424358189105988,1.5839390754699707,-0.5254866480827332,-0.16418488323688507,-2.315175771713257,-0.4624379277229309,-0.2937978208065033,-3.262261152267456,-0.3935340940952301,-0.3807916045188904,0.27350202202796936,-0.4923725128173828,-0.2440885752439499,3.8993027210235596,-0.5430837869644165,-0.08927413076162338,0.09054312109947205,0.36183685064315796,0.2712937593460083,-0.09054312109947205,-0.36183685064315796,-0.2712937593460083,0.09054312109947205,0.3756267726421356,0.14160701632499695,-0.28810885548591614,-0.3196680545806885,0.2397456613909168,3.2945702302290183
0.1,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0006581141353649813,0.0007537364583660029,0.00100220432996454,0.00042790214173261276,-0.0068414080330576575,-0.006841612026218552,0.1554436337959576,0.34244806406737954,0.19281884035796448,-0.3886378620865095,-0.3803633240573504,0.00864083709802996,0.03041096063184465,-0.04037076761052721,-0.01821922834099372,-0.1927648463915062,0.040171566872473786,2.565762536377975,3.965573573730876,-0.43522691359609345,-4.025404031057785,-3.9958445051702016,-0.003808083711192012,-0.012305187061429024,-0.9999170303344727,-0.003808083711192012,-0.012305187061429024,-0.9999170303344727,-0.0019224837888032198,-0.012736686505377293,-0.9999170303344727,0.0023656997364014387,-0.012661855667829514,-0.9999170303344727,0.00475862342864275,-0.011969737708568573,-0.9999170303344727,-2.8217318686074577e-05,-0.012880928814411163,-0.9999170303344727,-0.004712694324553013,-0.011987894773483276,-0.9999170303344727,-0.3891581892967224,3.3826491832733154,0.6741909980773926,3.3829753398895264,0.3864917755126953,0.6740877628326416,0.6095436215400696,0.2833675444126129,0.7246533632278442,-3.3250479698181152,0.03282974660396576,0.7775208353996277,-2.8216898441314697,-0.11781500279903412,0.7688140273094177,1.2138725519180298,0.17322300374507904,0.7585457563400269,5.211665153503418,0.43654853105545044,0.6449010968208313,0.13564324378967285,0.40325289964675903,0.26760968565940857,-0.13564324378967285,-0.40325289964675903,-0.26760968565940857,0.13564324378967285,0.41028183698654175,0.11792489886283875,-0.33740025758743286,-0.3264497220516205,0.3597520328540197,3.254243677437853
0.12,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0006414231127050896,0.0007318285595133186,0.0010115254836949145,-0.0005425734391754292,-0.01026789124554989,-0.006101980756543685,0.2252461760906437,0.41752349009907014,0.15823099212621158,-0.46213402495785616,-0.44273153896497897,0.012661274745387887,0.05454869155482031,-0.07027828660666095,-0.04366437694024175,-0.10246328839538782,0.06610757178719809,2.7002913792975267,3.8725700641244507,-1.3549815863413308,-3.923922902801299,-2.238588226767958,-0.006800143979489803,-0.008579653687775135,-0.9999400973320007,-0.006800143979489803,-0.008579653687775135,-0.9999400973320007,-0.004765430465340614,-0.009856119751930237,-0.9999400973320007,-0.0004441587079782039,-0.01093869935721159,-0.9999400973320007,0.001314475666731596,-0.010868513025343418,-0.9999400973320007,-0.0035881774965673685,-0.010342988185584545,-0.9999400973320007,-0.007638216949999332,-0.007842835038900375,-0.9999400973320007,0.2835451662540436,3.0579659938812256,-0.8814839720726013,3.0577147006988525,-0.28595539927482605,-0.8815773725509644,0.16059419512748718,-0.08456716686487198,-0.9223063588142395,-3.6200897693634033,0.2928588390350342,-0.8797393441200256,-2.1279187202453613,0.4288875460624695,-0.8218404054641724,1.7467674016952515,0.021899614483118057,-0.9258080720901489,4.143007755279541,-0.3731438219547272,-0.846857488155365,0.1831180453300476,0.4314553141593933,0.2483372688293457,-0.1831180453300476,-0.4314553141593933,-0.2483372688293457,0.1831180453300476,0.4298557639122009,0.08254742622375488,-0.3788386583328247,-0.3166825771331787,0.3468377580654103,2.970632115775225
0.14,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.0007924195962817727,0.0010330893602296274,0.0007474024794508713,-0.002565798652848558,-0.012247964868175592,-0.006990279828997673,0.29739462644837533,0.4961761174833375,0.103700729881137,-0.5348401516826236,-0.45181986763503573,0.012436713534997767,0.09893538955008699,-0.03155154787973144,-0.12890470883371893,-0.09294720212005403,-0.08882231149859514,2.6453814560125246,3.591911174442764,-2.022628836902314,-3.3844032465990788,-0.2256899720867438,0.0026385849341750145,0.005077064968645573,-0.9999836087226868,0.0026385849341750145,0.005077064968645573,-0.9999836087226868,0.0010647847084328532,0.005621828138828278,-0.9999836087226868,-0.0017007789574563503,0.005463155452162027,-0.9999836087226868,-0.0022784110624343157,0.005248577333986759,-0.9999836087226868,0.0006765450234524906,0.005681637674570084,-0.9999836087226868,0.003087105229496956,0.004817520268261433,-0.9999836087226868,0.3369930386543274,3.014969825744629,0.1388133019208908,3.014707565307617,-0.33936941623687744,0.13872124254703522,0.11887244880199432,-0.36272457242012024,0.035691823810338974,-3.6047627925872803,-0.3340551257133484,-0.13897952437400818,-1.4469940662384033,-0.3188721537590027,-0.1743176132440567,1.9658095836639404,-0.36577436327934265,0.01080002449452877,2.2366437911987305,-0.32378146052360535,0.16927586495876312,0.23086470365524292,0.44805556535720825,0.21719086170196533,-0.23086470365524292,-0.44805556535720825,-0.21719086170196533,0.23086470365524292,0.43662309646606445,0.03898321092128754,-0.4125301241874695,-0.29394084215164185,0.3820397521846313,2.8098555576269466
0.16,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.000826590526222152,0.0012640211766797708,0.0007735856585692125,-0.006100014338970573,-0.013691976083734956,-0.007877115519987297,0.36019597670229253,0.5671340893111253,0.0410575561870978,-0.6065579315671017,-0.42695151088173844,-0.004718115543369065,0.02245097810535911,0.008933115715499512,-0.19548801353208292,-0.05079964009699524,0.049725425091172906,3.165236437110406,3.5418622713791317,-2.857944642891704,-3.804599840441059,0.6701116105318102,-0.008410295471549034,-0.013790047727525234,-0.9998695254325867,-0.008410295471549034,-0.013790047727525234,-0.9998695254325867,-0.003110580611974001,-0.01585000939667225,-0.9998695254325867,0.005784610286355019,-0.015081007033586502,-0.9998695254325867,0.006483417470008135,-0.014794046059250832,-0.9998695254325867,-0.0029856653418391943,-0.015874013304710388,-0.9998695254325867,-0.009308744221925735,-0.013200218789279461,-0.9998695254325867,-0.6048876643180847,3.1273446083068848,0.5419169664382935,3.1278369426727295,0.6024224162101746,0.5418214797973633,-0.19506104290485382,0.37985047698020935,0.7177353501319885,-3.788867712020874,-0.05660969763994217,0.8096473813056946,-0.8046349883079529,-0.09676000475883484,0.8060939908027649,3.166533946990967,0.37153682112693787,0.7208369970321655,2.364060640335083,0.6388218998908997,0.5010684728622437,0.27718228101730347,0.4542312026023865,0.17704890668392181,-0.27718228101730347,-0.4542312026023865,-0.17704890668392181,0.27718228101730347,0.4322853684425354,-0.01001523807644844,-0.438475102186203,-0.26097726821899414,0.4354825038804482,3.0410284094432756
0.18,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.00047534273206236967,0.0009997904525171847,0.00206297168703329,-0.010780142156788368,-0.01586125690120377,-0.00453043145888993,0.43766069002586455,0.6217827725004428,-0.028832860323703715,-0.6626639962876231,-0.37839552350648936,-0.002756073996645593,0.07978071290701091,0.01904688698194154,-0.27104259845259987,-0.053234501528861236,0.2783843188405303,3.319284711702324,2.046295550466404,-2.667210288336275,-2.1681654678486155,1.6988338243083676,-0.010635028593242168,-0.007302477024495602,-0.9999167919158936,-0.010635028593242168,-0.007302477024495602,-0.9999167919158936,-0.006611368153244257,-0.011077897623181343,-0.9999167919158936,0.0010260967537760735,-0.012859904207289219,-0.9999167919158936,0.000723653647582978,-0.012880463153123856,-0.9999167919158936,-0.007307779043912888,-0.010631386190652847,-0.9999167919158936,-0.010742701590061188,-0.00714313518255949,-0.9999167919158936,0.39987605810165405,2.6946163177490234,-0.6464769244194031,2.6942803859710693,-0.4019998610019684,-0.6465591788291931,-0.9044939279556274,-0.09241316467523575,-0.7546257972717285,-3.108035087585449,0.36355534195899963,-0.6692134737968445,-0.20732499659061432,0.3454481065273285,-0.6773979663848877,2.0850274562835693,-0.14294125139713287,-0.7469868063926697,0.20600992441177368,-0.40953657031059265,-0.6405643820762634,0.3206768035888672,0.4508923888206482,0.130215585231781,-0.3206768035888672,-0.4508923888206482,-0.130215585231781,0.3206768035888672,0.4181767404079437,-0.062229350209236145,-0.45663657784461975,-0.21998757123947144,0.34400305844568735,2.4119392449129053
0.2,flat,mixed,sim_sensor_smoke.mp4,0.0125,0.0,0.5,0.00031813652902809813,0.0014715850790143915,0.0005153494821233962,-0.014593575181942917,-0.01854434291545714,-0.005245272739543551,0.5129018515809342,0.6255560677818474,-0.09740846240757917,-0.6980281007636724,-0.31515121921974354,0.043127686940523026,0.0986899878682443,-0.2057499600557838,-0.1307800041404217,-0.10475254632379837,-0.13087771996549707,2.6809806316945055,-0.13668152743562728,-3.0296038200777793,-1.4533992445073394,2.40374447724263,0.003968403674662113,0.008189544081687927,-0.9999585747718811,0.003968403674662113,0.008189544081687927,-0.9999585747718811,-0.0005121954600326717,0.009085951372981071,-0.9999585747718811,-0.0057373978197574615,0.007063930854201317,-0.9999585747718811,-0.005069088656455278,0.007557856850326061,-0.9999585747718811,0.000947707099840045,0.00905089545994997,-0.9999585747718811,0.003746363800019026,0.00829346850514412,-0.9999585747718811,0.5394572019577026,0.6663667559623718,-0.07414412498474121,0.6659390926361084,-0.539982259273529,-0.07416447252035141,-2.2654757499694824,-0.4336102306842804,-0.32712048292160034,-2.1151227951049805,-0.1596468985080719,-0.5201765894889832,1.0976060628890991,-0.20895066857337952,-0.5031648278236389,2.6267330646514893,-0.48416951298713684,-0.2530732750892639,-0.025468913838267326,-0.5372549295425415,-0.08870384842157364,0.36019784212112427,0.4387970566749573,0.0785992294549942,-0.36019784212112427,-0.4387970566749573,-0.0785992294549942,0.36019784212112427,0.3954057991504669,-0.11582359671592712,-0.4669886827468872,-0.1727912873029709,0.1593767310700822,0.5587243133171572
