time_s,terrain,mode,video_file,cmd_vel_norm,cmd_yaw_norm,gait_blend,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,previous_action_00,previous_action_01,previous_action_02,previous_action_03,previous_action_04,previous_action_05,previous_action_06,previous_action_07,previous_action_08,previous_action_09,previous_action_10,segment_gravity_00_x,segment_gravity_00_y,segment_gravity_00_z,segment_gravity_01_x,segment_gravity_01_y,segment_gravity_01_z,segment_gravity_02_x,segment_gravity_02_y,segment_gravity_02_z,segment_gravity_03_x,segment_gravity_03_y,segment_gravity_03_z,segment_gravity_04_x,segment_gravity_04_y,segment_gravity_04_z,segment_gravity_05_x,segment_gravity_05_y,segment_gravity_05_z,segment_gravity_06_x,segment_gravity_06_y,segment_gravity_06_z,segment_gyro_00_x,segment_gyro_00_y,segment_gyro_00_z,segment_gyro_01_x,segment_gyro_01_y,segment_gyro_01_z,segment_gyro_02_x,segment_gyro_02_y,segment_gyro_02_z,segment_gyro_03_x,segment_gyro_03_y,segment_gyro_03_z,segment_gyro_04_x,segment_gyro_04_y,segment_gyro_04_z,segment_gyro_05_x,segment_gyro_05_y,segment_gyro_05_z,segment_gyro_06_x,segment_gyro_06_y,segment_gyro_06_z,phase_sin,phase_cos,action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,velocity_estimate_m_s,yaw_rate_estimate_rad_s
0.02,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.0012474266922881993,0.004791739211088892,0.005805631096132324,0.003895065383681018,-0.009093146500280156,-0.02262260179909649,-0.004521296061933481,0.03468828430593538,0.035119743725016105,-0.048037446552831826,-0.04773785148028848,0.06041357207964952,0.14208105841733143,0.20229513133874946,0.19108790412892362,-0.4267010987362236,-0.8497601285612989,0.015096673315086689,1.1273330450029533,0.9572110705400027,-1.0532136002242554,-1.3437788679740947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033274150919169188,-0.0021534578409045935,-0.9999921321868896,0.0033274150919169188,-0.0021534578409045935,-0.9999921321868896,0.003311838721856475,-0.0021773369517177343,-0.9999921321868896,0.0034112404100596905,-0.0020180463325232267,-0.9999921321868896,0.003506219247356057,-0.0018481066217646003,-0.9999921321868896,0.0033708722330629826,-0.0020847762934863567,-0.9999921321868896,0.0032248739153146744,-0.002304182853549719,-0.9999921321868896,0.02833424528798819,0.4213510686399878,0.03126300668815504,0.42132955354410223,-0.028666353750006215,0.03125014316521818,0.42013548469520245,-0.028440011241604533,0.03145310176208642,-0.13068300545910794,-0.02946311903262282,0.030064687943771692,-0.6339405168291578,-0.03050732451907737,0.028556577431845954,-0.05056091170421636,-0.028928884403041654,0.03064380497961761,0.624255839823015,-0.027066315532313798,0.032713644004127275,0.12533323356430426,0.9921147013144779,0.0,0.12990380823612213,0.12990380823612213,1.8369702788777518e-17,-0.12990380823612213,-0.12990380823612213,0.0,0.14265848696231842,0.08816778659820557,-0.08816778659820557,-0.14265848696231842,0.010420546863567508,2.752309378053973
0.04,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.006023989420460116,0.015218588587591812,0.015285870156013329,0.007871693310582096,-0.031725653759568886,-0.07272819229793115,0.003994544946657751,0.07880359566105033,0.08046969787151163,-0.10121988857090945,-0.09927138668983915,0.12947761654412607,0.22426169775362367,0.16740992633842677,0.19756714599500044,-0.7043789996705733,-1.336016447777392,0.11287062816578743,1.100157705846936,1.068011529571153,-1.3055685381669782,-1.2815008603016111,0.0,0.12990380823612213,0.12990380823612213,1.8369702788777518e-17,-0.12990380823612213,-0.12990380823612213,0.0,0.14265848696231842,0.08816778659820557,-0.08816778659820557,-0.14265848696231842,0.005374405533075333,0.0102275675162673,-0.9999332427978516,0.005374405533075333,0.0102275675162673,-0.9999332427978516,0.005317434202879667,0.010257302783429623,-0.9999332427978516,0.004085774999111891,0.010807118378579617,-0.9999332427978516,0.0027668338734656572,0.01121748611330986,-0.9999332427978516,0.004419688135385513,0.010674910619854927,-0.9999332427978516,0.005943557247519493,0.009907647967338562,-0.9999332427978516,-0.02142996042344811,0.4298404625413782,-0.10470040616032243,0.429854009083232,0.02109114746671355,-0.10471352581535316,0.37300509241986807,0.02171815883252072,-0.10459496511501036,-0.17393465662765206,0.0341908858555541,-0.10133849218710368,-0.7371327603024982,0.04648453148469274,-0.0965726707754842,-0.07311758772224886,0.03094556416010485,-0.1023439244920511,0.5710880915583249,0.015298384583244767,-0.105581443645011,0.2486898871648548,0.9685831611286311,0.01879998669028282,0.22921214997768402,0.2104121446609497,-0.01879998669028282,-0.22921214997768402,-0.2104121446609497,0.01879998669028282,0.2472040206193924,0.13398051261901855,-0.16439953446388245,-0.23558500409126282,0.0714572423066781,2.6075294359145667
0.06,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.011099043507179288,0.01677987010005942,0.021928556388652484,0.015856476834905868,-0.07235596702010481,-0.11445157424237527,0.02721017080390051,0.12307800357482275,0.11600036295710846,-0.1535457008866295,-0.14902079434293997,0.04673396416006046,-0.07534947942537724,-0.13522167744710276,0.3201729656051414,-0.5166116841675045,-0.6656981780241901,0.5228973334405925,1.2156987970077198,0.6567085608165516,-1.1925168687826897,-1.102249876986389,0.01879998669028282,0.22921214997768402,0.2104121446609497,-0.01879998669028282,-0.22921214997768402,-0.2104121446609497,0.01879998669028282,0.2472040206193924,0.13398051261901855,-0.16439953446388245,-0.23558500409126282,-0.0048140957951545715,-0.005441357847303152,-0.9999735951423645,-0.0048140957951545715,-0.005441357847303152,-0.9999735951423645,-0.004595831502228975,-0.0056269196793437,-0.9999735951423645,-0.003478568745777011,-0.006378358229994774,-0.9999735951423645,-0.0022942835930734873,-0.006893486250191927,-0.9999735951423645,-0.0038275213446468115,-0.006175271235406399,-0.9999735951423645,-0.00511929951608181,-0.005155256018042564,-0.9999735951423645,-0.03161467605304607,0.5767037213119278,-0.018815213412982406,0.5767278925924906,0.031160098504660182,-0.018832820122842882,0.2942267719795596,0.03210156893394259,-0.017583014084403638,-0.321144224961869,0.03527810730421896,-0.011338832615040095,-0.6850355682992167,0.0370169121985488,-0.004972988697534882,-0.0719672225976633,0.03439844297214478,-0.013257100729812024,0.5000088172686978,0.03031822551439995,-0.020475595640513846,0.3681245526846779,0.9297764858882515,0.0504634752869606,0.304922878742218,0.254459410905838,-0.0504634752869606,-0.304922878742218,-0.254459410905838,0.0504634752869606,0.32274681329727173,0.14900504052639008,-0.23065665364265442,-0.2915586829185486,0.21014789416158877,3.4542304144675926
0.08,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.012172232194575007,0.01490830689134363,0.01933118819025848,0.021217516615655574,-0.08201094675766611,-0.13678130693337187,0.06203276785923296,0.17081398695099775,0.12956051900772522,-0.19899999660625814,-0.1926148445695914,0.10330452817608568,0.32857184026561465,-0.41522833859501873,0.08434609350494046,-0.3111767182908641,-0.4289956462380622,0.5598999979142065,1.230681335864315,0.3114890086868698,-1.16767728601435,-1.2147828641445853,0.0504634752869606,0.304922878742218,0.254459410905838,-0.0504634752869606,-0.304922878742218,-0.254459410905838,0.0504634752869606,0.32274681329727173,0.14900504052639008,-0.23065665364265442,-0.2915586829185486,0.001888959901407361,0.0036504047457128763,-0.9999915957450867,0.001888959901407361,0.0036504047457128763,-0.9999915957450867,0.001538469921797514,0.003811395261436701,-0.9999915957450867,0.0005051096668466926,0.0040790303610265255,-0.9999915957450867,-0.00032129077590070665,0.004097608849406242,-0.9999915957450867,0.0009243952226825058,0.004004886839538813,-0.9999915957450867,0.0020480332896113396,0.0035635915119200945,-0.9999915957450867,0.08551804754931396,0.5655164026883823,-0.018165165574083944,0.5654482525786638,-0.08596377431090037,-0.01818243077448592,0.2520917334174525,-0.08363379757115823,-0.026130835748115925,-0.3684716681947583,-0.07359928207027708,-0.046759375450981897,-0.5192049880400279,-0.06263289635044693,-0.06060486614707552,0.04352919875137977,-0.07836351925746407,-0.03884790330233266,0.6205933026625773,-0.08643446920845273,-0.014208419200944592,0.4817536741017153,0.8763066800438636,0.09054312109947205,0.36183685064315796,0.2712937593460083,-0.09054312109947205,-0.36183685064315796,-0.2712937593460083,0.09054312109947205,0.3756267726421356,0.14160701632499695,-0.28810885548591614,-0.3196680545806885,0.2397456613909168,3.2945702302290183
0.1,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.013162282707299624,0.015074729167320057,0.0200440865992908,0.008558042834652255,-0.13682816066115314,-0.13683224052437104,0.0990086839464698,0.21811978603017804,0.12281454799870349,-0.24754003954554746,-0.24226963315754801,0.08640837098029959,0.30410960631844647,-0.40370767610527203,-0.18219228340993718,-1.927648463915062,0.40171566872473785,0.8167075809291072,1.2622812729077233,-0.138537029330895,-1.2813258989697758,-1.2719168096488522,0.09054312109947205,0.36183685064315796,0.2712937593460083,-0.09054312109947205,-0.36183685064315796,-0.2712937593460083,0.09054312109947205,0.3756267726421356,0.14160701632499695,-0.28810885548591614,-0.3196680545806885,-0.003808083711192012,-0.012305187061429024,-0.9999170303344727,-0.003808083711192012,-0.012305187061429024,-0.9999170303344727,-0.0019224837888032198,-0.012736686505377293,-0.9999170303344727,0.0023656997364014387,-0.012661855667829514,-0.9999170303344727,0.00475862342864275,-0.011969737708568573,-0.9999170303344727,-2.8217318686074577e-05,-0.012880928814411163,-0.9999170303344727,-0.004712694324553013,-0.011987894773483276,-0.9999170303344727,-0.06193644947126489,0.5383653382637108,0.10730082993207554,0.5384172477014029,0.06151207653720861,0.10728439953257211,0.09701188039823756,0.04509934540507953,0.11533216478587811,-0.5291978204142243,0.005225016452475514,0.12374628431079067,-0.4490858865657231,-0.018750840065851766,0.12236055276468125,0.1931938169213278,0.02756929730325523,0.12072630668289569,0.8294622709198505,0.06947885661698072,0.10263919736442029,0.5877852522924731,0.8090169943749475,0.13564324378967285,0.40325289964675903,0.26760968565940857,-0.13564324378967285,-0.40325289964675903,-0.26760968565940857,0.13564324378967285,0.41028183698654175,0.11792489886283875,-0.33740025758743286,-0.3264497220516205,0.3597520328540197,3.254243677437853
0.12,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.012828462254101792,0.014636571190266371,0.02023050967389829,-0.010851468783508582,-0.2053578249109978,-0.1220396151308737,0.14346890196856288,0.26593852872552237,0.10078407141796916,-0.2943528821387619,-0.2819946108057191,0.12661274745387885,0.545486915548203,-0.7027828660666094,-0.4366437694024175,-1.024632883953878,0.6610757178719808,0.8595294416072669,1.2326773363502088,-0.43130403452944116,-1.249023452584651,-0.7125647636748826,0.13564324378967285,0.40325289964675903,0.26760968565940857,-0.13564324378967285,-0.40325289964675903,-0.26760968565940857,0.13564324378967285,0.41028183698654175,0.11792489886283875,-0.33740025758743286,-0.3264497220516205,-0.006800143979489803,-0.008579653687775135,-0.9999400973320007,-0.006800143979489803,-0.008579653687775135,-0.9999400973320007,-0.004765430465340614,-0.009856119751930237,-0.9999400973320007,-0.0004441587079782039,-0.01093869935721159,-0.9999400973320007,0.001314475666731596,-0.010868513025343418,-0.9999400973320007,-0.0035881774965673685,-0.010342988185584545,-0.9999400973320007,-0.007638216949999332,-0.007842835038900375,-0.9999400973320007,0.04512761479914431,0.4866904037331176,-0.14029253141163273,0.4866504091809777,-0.04551121529840515,-0.14030739655945135,0.02555935998640396,-0.013459282629821517,-0.1467896160503735,-0.576155181230585,0.0466099318605794,-0.14001486524912402,-0.33866878282482926,0.06825957298639497,-0.13079996296227053,0.2780066664115856,0.0034854318967951015,-0.147346931027525,0.6593801635207964,-0.05938768374829693,-0.13478155533431255,0.6845471059286886,0.7289686274214116,0.1831180453300476,0.4314553141593933,0.2483372688293457,-0.1831180453300476,-0.4314553141593933,-0.2483372688293457,0.1831180453300476,0.4298557639122009,0.08254742622375488,-0.3788386583328247,-0.3166825771331787,0.3468377580654103,2.970632115775225
0.14,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.015848391925635454,0.02066178720459255,0.014948049589017427,-0.05131597305697116,-0.24495929736351182,-0.13980559657995345,0.18942332894800976,0.3160357436199602,0.06605142030645669,-0.3406625169953016,-0.2877833551815514,0.12436713534997766,0.9893538955008698,-0.3155154787973144,-1.2890470883371892,-0.9294720212005403,-0.8882231149859513,0.8420510701760572,1.143340837119162,-0.6438227548664286,-1.0772890122250045,-0.07183934932775432,0.1831180453300476,0.4314553141593933,0.2483372688293457,-0.1831180453300476,-0.4314553141593933,-0.2483372688293457,0.1831180453300476,0.4298557639122009,0.08254742622375488,-0.3788386583328247,-0.3166825771331787,0.002638585167005658,0.00507706543430686,-0.9999836683273315,0.002638585167005658,0.00507706543430686,-0.9999836683273315,0.001064784824848175,0.005621828604489565,-0.9999836683273315,-0.0017007790738716722,0.005463155917823315,-0.9999836683273315,-0.0022784112952649593,0.0052485777996480465,-0.9999836683273315,0.0006765450816601515,0.005681638140231371,-0.9999836683273315,0.0030871054623275995,0.00481752073392272,-0.9999836683273315,0.053634107889394364,0.479847351040168,0.022092823167617463,0.47980561099524016,-0.05401232012830997,0.0220781714632104,0.01891913782427565,-0.05772940868155631,0.0056805301873804545,-0.5737158171140103,-0.053166524522463905,-0.022119278292683953,-0.2302962582664833,-0.050750079485104176,-0.027743509815772865,0.31286831241753693,-0.058214797972198036,0.0017188772838178023,0.355972915305075,-0.05153141992384517,0.026941090654343306,0.7705132427757893,0.6374239897486896,0.23086470365524292,0.44805556535720825,0.21719086170196533,-0.23086470365524292,-0.44805556535720825,-0.21719086170196533,0.23086470365524292,0.43662309646606445,0.03898321092128754,-0.4125301241874695,-0.29394084215164185,0.3820397521846313,2.8098555576269466
0.16,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.01653181052444304,0.025280423533595414,0.01547171317138425,-0.12200028677941145,-0.2738395216746991,-0.15754231039974592,0.22942418898235192,0.361231904019825,0.026151309673310696,-0.38634263157140236,-0.271943637504292,-0.04718115543369065,0.2245097810535911,0.08933115715499512,-1.9548801353208292,-0.5079964009699524,0.49725425091172903,1.0075260500414005,1.1274097764813538,-0.9097120339984327,-1.2110417421856616,0.21330315047881718,0.23086470365524292,0.44805556535720825,0.21719086170196533,-0.23086470365524292,-0.44805556535720825,-0.21719086170196533,0.23086470365524292,0.43662309646606445,0.03898321092128754,-0.4125301241874695,-0.29394084215164185,-0.008410296402871609,-0.013790048658847809,-0.9998695850372314,-0.008410296402871609,-0.013790048658847809,-0.9998695850372314,-0.0031105808448046446,-0.015850011259317398,-0.9998695850372314,0.005784610752016306,-0.015081007964909077,-0.9998695850372314,0.006483417935669422,-0.014794046990573406,-0.9998695850372314,-0.002985665574669838,-0.015874015167355537,-0.9998695850372314,-0.00930874515324831,-0.013200219720602036,-0.9998695850372314,-0.09627086179153427,0.49773235316382797,0.08624876395401915,0.49781071061180615,0.09587850536921243,0.08623356678311588,-0.031044929182967765,0.06045508104721452,0.11423112880529822,-0.6030170250894019,-0.009009713206334398,0.1288593828962099,-0.12806163577390012,-0.01539983305096388,0.12829384323293286,0.503969530131902,0.059131921623001495,0.11472477124118703,0.3762519366783198,0.1016716631229926,0.0797475242835333,0.8443279255020151,0.5358267949789965,0.27718228101730347,0.4542312026023865,0.17704890668392181,-0.27718228101730347,-0.4542312026023865,-0.17704890668392181,0.27718228101730347,0.4322853684425354,-0.01001523807644844,-0.438475102186203,-0.26097726821899414,0.4354825038804482,3.0410284094432756
0.18,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.009506854641247392,0.019995809050343694,0.0412594337406658,-0.21560284313576736,-0.31722513802407537,-0.09060862917779859,0.27876477071711114,0.39603998248435845,-0.018364879187072428,-0.42207897852714843,-0.24101625701050278,-0.027560739966455926,0.7978071290701091,0.1904688698194154,-2.7104259845259984,-0.5323450152886123,2.7838431884053025,1.0565611387935632,0.6513561037673584,-0.8489994033085553,-0.6901485032985181,0.5407556012607704,0.27718228101730347,0.4542312026023865,0.17704890668392181,-0.27718228101730347,-0.4542312026023865,-0.17704890668392181,0.27718228101730347,0.4322853684425354,-0.01001523807644844,-0.438475102186203,-0.26097726821899414,-0.010635028593242168,-0.007302477024495602,-0.9999167919158936,-0.010635028593242168,-0.007302477024495602,-0.9999167919158936,-0.006611368153244257,-0.011077897623181343,-0.9999167919158936,0.0010260967537760735,-0.012859904207289219,-0.9999167919158936,0.000723653647582978,-0.012880463153123856,-0.9999167919158936,-0.007307779043912888,-0.010631386190652847,-0.9999167919158936,-0.010742701590061188,-0.00714313518255949,-0.9999167919158936,0.06364225127098018,0.4288615067058384,-0.10288999811619362,0.42880804150283536,-0.06398026500071811,-0.10290308931210282,-0.14395467963074277,-0.014708011964829099,-0.1201024258204581,-0.49465914749227613,0.05786162976023914,-0.10650863233846637,-0.032996798033906614,0.05497977373555996,-0.10781123479055243,0.33184242614985077,-0.022749806731594987,-0.11888664266182199,0.0327874977961215,-0.06517976954183237,-0.1019489877760428,0.9048270524660196,0.42577929156507266,0.3206768035888672,0.4508923888206482,0.130215585231781,-0.3206768035888672,-0.4508923888206482,-0.130215585231781,0.3206768035888672,0.4181767404079437,-0.062229350209236145,-0.45663657784461975,-0.21998757123947144,0.34400305844568735,2.4119392449129053
0.2,flat,mixed,sim_sensor_smoke.mp4,0.5,0.0,0.5,0.006362730580561963,0.02943170158028783,0.010306989642467923,-0.29187150363885833,-0.37088685830914275,-0.10490545479087102,0.32668907744008546,0.398443355275062,-0.062043606629031314,-0.444603885836734,-0.20073326064951816,0.43127686940523025,0.986899878682443,-2.057499600557838,-1.307800041404217,-1.0475254632379836,-1.3087771996549706,0.8533826397356253,-0.04350708144146118,-0.9643528471509354,-0.46263134809873857,0.765135630966017,0.3206768035888672,0.4508923888206482,0.130215585231781,-0.3206768035888672,-0.4508923888206482,-0.130215585231781,0.3206768035888672,0.4181767404079437,-0.062229350209236145,-0.45663657784461975,-0.21998757123947144,0.0039684041403234005,0.008189545013010502,-0.9999586343765259,0.0039684041403234005,0.008189545013010502,-0.9999586343765259,-0.0005121955182403326,0.009085952304303646,-0.9999586343765259,-0.005737398285418749,0.007063931319862604,-0.9999586343765259,-0.005069089122116566,0.0075578573159873486,-0.9999586343765259,0.0009477071580477059,0.009050896391272545,-0.9999586343765259,0.0037463640328496695,0.008293469436466694,-0.9999586343765259,0.08585728027809125,0.1060555631235222,-0.011800403992544863,0.10598749839116825,-0.08594084574531159,-0.011803642403416964,-0.3605616640624619,-0.06901121158862025,-0.05206284184358063,-0.3366322480873038,-0.025408593046849774,-0.08278867549785532,0.17468943047643387,-0.0332555317658097,-0.08008116953811457,0.41805755142220763,-0.07705797128629845,-0.040277862694911376,-0.004053503532541822,-0.08550677773718343,-0.014117655947567663,0.9510565162951535,0.30901699437494745,0.36019784212112427,0.4387970566749573,0.0785992294549942,-0.36019784212112427,-0.4387970566749573,-0.0785992294549942,0.36019784212112427,0.3954057991504669,-0.11582359671592712,-0.4669886827468872,-0.1727912873029709,0.1593767310700822,0.5587243133171572
