trial,generation,direction,score,lateral_term,forward_penalty,yaw_penalty,lateral_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,off_axis_forward_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,left,-2.261223489855305,-0.15444663687178378,0.2540869598886439,0.29653788969073264,1.7722331843589187,0.020326956791091512,-0.023166995530767565,-0.023166995530767565,0.020326956791091512,-0.059307577938146526,6.0,False,0.4206925928592682,-0.6095567110748106,0.4730666764224337,1.0551166205170948,-0.22128060787998427,-0.7868189558494012,0.22115515150157164,0.95266651605536,2.0426375639616055,-1.695060743206525,-0.20857006953437207,-0.10026365111480184
1,0,left,-4.375616196151435,-0.42345464215749123,0.5117137994933332,0.9310365973545465,3.1172732107874563,0.040937103959466654,-0.06351819632362368,-0.06351819632362368,0.040937103959466654,-0.1862073194709093,6.0,False,0.5585192441940308,-0.76497304723351,0.2804602529061562,0.9925834484573437,-0.36339279521246537,0.008410625490724577,0.3158457893840708,1.4507696434880315,2.9094691843951033,0.9774952899231018,-0.4088845832178001,-0.24124074895792358
2,0,left,-0.12309424701456254,0.7668390504015841,0.3840537022991067,1.2305698696366152,0.0,-0.030724296183928537,0.1150258575602376,0.1150258575602376,0.030724296183928537,0.24611397392732304,6.0,False,0.2905385494232178,-0.6226234053425327,0.11663469661472531,1.2640156410120225,-1.4058900766837774,-1.1984190980604867,0.3517844052103753,1.3432179491902652,-0.8227174242260604,1.4036731317672269,0.04929989909609611,-0.1134461526377506
3,0,left,-1.5873692261030738,-0.029050590623049124,0.5156258958524169,0.09151612213666929,1.1452529531152456,0.041250071668193354,-0.004357588593457368,-0.004357588593457368,0.041250071668193354,-0.01830322442733386,6.0,False,0.3184747099876404,-0.4044630347191074,0.7344535588982246,0.8030295593999077,0.24981970822099697,-2.4217627628711575,0.2699682102954969,0.7035777632696414,1.1643474375123155,0.14999710633199026,-0.09665023165566716,-0.12559233429962413
4,0,left,-3.483928543224844,-0.32687738386957715,0.6522906258238079,0.12374739088116112,2.6343869193478855,-0.052183250065904636,-0.04903160758043657,-0.04903160758043657,0.052183250065904636,0.024749478176232225,6.0,False,0.20935532450675964,-0.34448018896946453,0.46290427576531595,1.354140360917332,2.1350923802833917,-2.9238553349927354,0.23915417753275794,1.138329237032157,-0.2440901633114474,0.21966863883487742,0.08538012847053866,0.07697494514073089
5,0,left,-3.620204973708545,-0.32562914693609174,0.32129198513939256,0.8671298492313176,2.6281457346804586,0.025703358811151406,-0.04884437204041376,-0.04884437204041376,0.025703358811151406,-0.17342596984626354,6.0,False,0.3980388939380646,-0.4579894987416605,0.2889185693650187,0.6857748908489867,-1.6522030734459432,-1.8934859083853166,0.8468785410529295,0.399793067656233,2.7963243273411056,-2.569430360765721,-0.2714802658766051,-0.08933633903294957
6,0,left,-1.1203297093896278,0.046785710476004806,0.2743811339278472,0.41287894459971125,0.7660714476199759,0.021950490714227774,0.00701785657140072,0.00701785657140072,0.021950490714227774,0.08257578891994226,6.0,False,0.1268853098154068,-0.2404222704054284,0.242957707304546,1.1921727882384632,2.49835268769435,0.040974110325955326,0.46082743438865587,1.1573758887582248,1.8333417102564828,1.227115868570654,0.012683878942301274,-0.05800245750600014
7,0,left,-5.461526092007566,-0.36375968327825625,1.4232407866977068,2.54114177174989,2.818798416391281,0.11385926293581655,-0.054563952491738434,-0.054563952491738434,0.11385926293581655,-0.508228354349978,6.0,False,0.606427788734436,-0.9269426888589791,0.18983701183946727,0.9879337658881433,2.647846886098031,1.899315704793258,0.4123051222815483,0.8589151699342251,-0.7672478347064553,1.82479034509835,-0.31006512518706364,-0.1933090972283536
8,0,left,-2.338402341013858,-0.12477448156334946,0.3482122222951826,0.6722979369326543,1.6238724078167475,0.02785697778361461,-0.018716172234502417,-0.018716172234502417,0.02785697778361461,-0.13445958738653085,6.0,False,0.4928963780403137,-0.6570852333786456,0.22978547581958025,1.3902564405166618,1.7336436310920362,-2.3292950972274014,0.6876088661090348,0.7682441353673908,2.529658027971144,1.0379677591806935,-0.2778081571161329,-0.13916961982180265
9,0,left,-1.0993532540325968,0.02160075368119162,0.25833943380305296,0.08622503844244085,0.8919962315940418,0.02066715470424424,0.003240113052178743,0.003240113052178743,0.02066715470424424,-0.017245007688488172,6.0,False,0.250382661819458,-0.5875735466291907,0.0937336019227949,1.1414381118939265,0.16294151404525437,-2.3469486428333877,0.22437046768651023,0.9215956268793523,1.5229690856978078,0.7142512426028613,0.1653345509679982,0.20221189654828908
