time_s,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,body_yaw_rate_rad_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.042238857597112656,0.563358286395669,0.5443508004769683,0.5,0.044350800476968266,0.8091534972190857,0.016687894240021706,0.8056573867797852,-0.024823304265737534,-0.007446991745382547,-0.3645193576812744,-0.0026064470876008272,-0.36712580919265747,-0.0030612770933657885,-0.0009183831862173975,-0.056465208530426025,-0.00032143411226570606,-0.05678664147853851,-0.010856444016098976,-0.0032569332979619503,-0.3645193576812744,-0.0011399266077205539,-0.36565929651260376,0.06632854789495468,0.019898565486073494,-0.3645193576812744,0.006964497733861208,-0.3575548529624939,-0.07636632025241852,-0.022909896448254585,-0.03987139090895653,-0.008018463850021362,-0.04788985475897789,-0.00991920754313469,-0.0029757623560726643,-0.3645193576812744,-0.0010415167780593038,-0.3655608892440796,0.013279455713927746,0.003983837086707354,0.09176146984100342,0.0013943429803475738,0.09315581619739532,0.03558715805411339,0.010676147416234016,-0.07342584431171417,0.0037366515025496483,-0.06968919187784195,-0.0061097946017980576,-0.0018329384038224816,-0.2000027447938919,-0.0006415284588001668,-0.20064426958560944,0.11235350370407104,0.03370605409145355,-0.2211066484451294,0.011797118932008743,-0.20930953323841095,-0.009107152931392193,-0.0027321460656821728,-0.12551169097423553,-0.0009562511113472283,-0.12646794319152832
0.04,-0.1,0.0,0.0,0.472384542119647,-0.45981661648736977,-0.6572596098106009,0.11610408127307892,0.6741561219096184,0.6219092853367328,0.5,0.12190928533673284,0.7017504572868347,0.02137310802936554,0.6963861584663391,-0.023108797147870064,-0.01214553415775299,-0.3024725615978241,-0.004250936675816774,-0.3067235052585602,0.013940778560936451,0.003539365716278553,-0.049322258681058884,0.0012387780006974936,-0.048083480447530746,0.033489521592855453,0.007767003029584885,-0.3024725615978241,0.002718450967222452,-0.2997541129589081,0.016468573361635208,0.018869567662477493,-0.3024725615978241,0.00660434877499938,-0.2958682179450989,-0.11500338464975357,-0.050537943840026855,-0.031038209795951843,-0.01768827997148037,-0.04872649163007736,0.04254832863807678,0.010681466199457645,-0.3024725615978241,0.0037385132163763046,-0.29873403906822205,-0.061226584017276764,-0.015579289756715298,0.1210564598441124,-0.0054527511820197105,0.11560370773077011,-0.036111872643232346,-0.003360259346663952,-0.04152796417474747,-0.0011760907946154475,-0.04270405322313309,-0.004392146598547697,-0.0026007010601460934,-0.18229620158672333,-0.0009102453477680683,-0.1832064539194107,-0.030808907002210617,0.014351565390825272,-0.22613516449928284,0.005023047793656588,-0.22111211717128754,0.020405616611242294,0.004209183156490326,-0.14950183033943176,0.0014732141280546784,-0.14802861213684082
0.06,-0.1,0.0,0.0,0.4525348306993704,-0.4462524317726309,-0.7497868423786859,0.021212460473179817,0.5318186907097697,0.5222730834968388,0.5,0.022273083496838764,0.8466148376464844,0.028467269614338875,0.8433173298835754,-0.04240494221448898,-0.02122335694730282,-0.3821815252304077,-0.007428174838423729,-0.389609694480896,0.05754397064447403,0.019740749150514603,-0.0655108317732811,0.0069092619232833385,-0.05860156938433647,0.03373080492019653,0.01555614359676838,-0.3821815252304077,0.005444650072604418,-0.3767368793487549,0.03462656959891319,0.023596668615937233,-0.3821815252304077,0.008258833549916744,-0.3739227056503296,-0.09184449166059494,-0.0629299059510231,-0.03670966625213623,-0.022025465965270996,-0.05873513221740723,0.0026157675310969353,0.008261756971478462,-0.3821815252304077,0.0028916148003190756,-0.3792899250984192,-0.002524428069591522,-0.011662830598652363,0.13293038308620453,-0.004081990569829941,0.1288483887910843,0.010212292894721031,0.0007115064654499292,-0.02724151685833931,0.00024902724544517696,-0.026992490515112877,-0.079010970890522,-0.025523781776428223,-0.17314393818378448,-0.008933323435485363,-0.18207725882530212,0.008638570085167885,0.012637666426599026,-0.2279645949602127,0.004423183389008045,-0.22354140877723694,-0.007889232598245144,0.000579658430069685,-0.16281068325042725,0.00020288044470362365,-0.162607803940773
0.08,-0.1,0.0,0.0,0.3696924819050899,-0.31677883591247347,-0.4466045817233866,-0.009965833276510239,0.48505125008523464,0.4895358750596642,0.5,0.010464124940335773,0.8691000938415527,0.03249843418598175,0.8602575659751892,0.04912451654672623,-0.00011899415403604507,-0.39274996519088745,-4.164795245742425e-05,-0.39279159903526306,0.011163919232785702,0.017167700454592705,-0.07218065857887268,0.006008694879710674,-0.06617196649312973,-0.008574552834033966,0.00831693410873413,-0.3929131031036377,0.002910926938056946,-0.39000219106674194,0.08957945555448532,0.043391503393650055,-0.3934830129146576,0.015187026001513004,-0.37829598784446716,-0.0462668240070343,-0.05793097987771034,-0.03740968927741051,-0.020275842398405075,-0.05768553167581558,-0.020021561533212662,-0.00022323895245790482,-0.3992827832698822,-7.813363481545821e-05,-0.39936092495918274,-0.028880607336759567,-0.01682816445827484,0.14768588542938232,-0.005889857653528452,0.1417960226535797,0.09989403188228607,0.030466265976428986,-0.004335491452366114,0.010663192719221115,0.0063277012668550014,-0.054220009595155716,-0.03413265198469162,-0.1540812849998474,-0.011946427635848522,-0.1660277098417282,0.051121555268764496,0.02418283373117447,-0.2229544222354889,0.008463991805911064,-0.21449042856693268,0.023946553468704224,0.00758972717449069,-0.1748054474592209,0.0026564043946564198,-0.17214904725551605
0.1,-0.1,0.0,0.0,0.31409415565976134,-0.22716914729270327,-0.17011190333735549,-0.01539906207472086,0.4769014068879187,0.4838309848215431,0.5,0.016169015178456925,0.8653562664985657,0.02978033944964409,0.8580131530761719,-0.058430805802345276,-0.017612537369132042,-0.38807520270347595,-0.006164387799799442,-0.394239604473114,0.024216946214437485,0.019282473251223564,-0.07672818005084991,0.006748865358531475,-0.06997931748628616,0.019947750493884087,0.011806178838014603,-0.38854026794433594,0.0041321623139083385,-0.3844081163406372,0.021616792306303978,0.036859091371297836,-0.39102691411972046,0.012900682166218758,-0.37812623381614685,-0.016356652602553368,-0.045458681881427765,-0.037050724029541016,-0.015910537913441658,-0.052961260080337524,0.04657498374581337,0.01381622813642025,-0.4000000059604645,0.0048356796614825726,-0.3951643407344818,-0.044539786875247955,-0.025141652673482895,0.16327868402004242,-0.008799578063189983,0.15447910130023956,0.016718734055757523,0.026342006400227547,0.01998046785593033,0.009219702333211899,0.029200170189142227,-0.039279866963624954,-0.03567681461572647,-0.13380490243434906,-0.01248688530176878,-0.1462917923927307,-0.05011174827814102,0.0018944581970572472,-0.21736006438732147,0.0006630603456869721,-0.21669700741767883,0.02942432463169098,0.014140106737613678,-0.18682944774627686,0.004949037451297045,-0.1818804144859314
0.12,-0.1,0.0,0.0,0.2810683388516326,-0.14170964866711105,0.1360741693945089,-0.013088827021420002,0.48036675946787,0.486256731627509,0.5,0.013743268372491013,0.8689491152763367,0.03578926995396614,0.8627607226371765,-0.05807510018348694,-0.029751306399703026,-0.38941022753715515,-0.010412957519292831,-0.3998231887817383,0.032367222011089325,0.023207897320389748,-0.08102934807538986,0.008122763596475124,-0.07290658354759216,0.05788400396704674,0.025629527866840363,-0.3853050172328949,0.008970334194600582,-0.37633469700813293,-0.004918954335153103,0.024325678125023842,-0.39342567324638367,0.008513987064361572,-0.3849116861820221,-0.061272792518138885,-0.05020291358232498,-0.0353134423494339,-0.017571019008755684,-0.052884459495544434,0.007295995019376278,0.011860158294439316,-0.4000000059604645,0.004151055123656988,-0.39584895968437195,-0.0579664409160614,-0.03498908877372742,0.17951498925685883,-0.012246181257069111,0.1672688126564026,0.04030592367053032,0.030531182885169983,0.04422507435083389,0.010685914196074009,0.05491098761558533,-0.08627453446388245,-0.05085613206028938,-0.11427726596593857,-0.01779964566230774,-0.1320769190788269,0.05577582120895386,0.018058868125081062,-0.21279887855052948,0.006320603657513857,-0.2064782679080963,-0.00852456409484148,0.0073407054878771305,-0.19962874054908752,0.002569246804341674,-0.1970594972372055
0.14,-0.1,0.0,0.0,0.26347365208704326,-0.07554097180299618,0.4117549887481697,-0.005742974579334259,0.4913855381309986,0.493969876691699,0.5,0.006030123308300994,0.8775877952575684,0.038877177983522415,0.8698614835739136,-0.04750928282737732,-0.03507870063185692,-0.3952276408672333,-0.012277545407414436,-0.40750518441200256,0.058960285037755966,0.0339336134493351,-0.0839943215250969,0.011876764707267284,-0.07211755961179733,0.03469481319189072,0.02834911271929741,-0.3841358423233032,0.009922189638018608,-0.37421366572380066,0.034403327852487564,0.027348972856998444,-0.3976227045059204,0.00957213994115591,-0.38805055618286133,-0.05267445743083954,-0.05094437673687935,-0.031182924285531044,-0.017830532044172287,-0.04901345819234848,-0.005175481550395489,0.006749465595930815,-0.4000000059604645,0.0023623129818588495,-0.3976376950740814,-0.051141686737537384,-0.03983486816287041,0.19582104682922363,-0.013942203484475613,0.18187884986400604,0.03805151209235191,0.03278728201985359,0.06891109049320221,0.011475548148155212,0.08038663864135742,-0.040093109011650085,-0.047627225518226624,-0.09416822344064713,-0.01666952855885029,-0.11083775013685226,0.03221559524536133,0.022305887192487717,-0.20782147347927094,0.007807060610502958,-0.2000144124031067,0.043971605598926544,0.018329976126551628,-0.21239542961120605,0.006415491458028555,-0.20597994327545166
0.16,-0.1,0.0,0.0,0.2527427609624759,0.009273981344488508,0.7118352172932931,0.03199794515967369,0.5479969177395105,0.5335978424176574,0.5,0.0335978424176574,0.8354944586753845,0.03923427686095238,0.8262667655944824,0.00457628071308136,-0.023182205855846405,-0.3731217086315155,-0.008113771677017212,-0.3812354803085327,0.02109691873192787,0.03008260577917099,-0.08056419342756271,0.010528911836445332,-0.07003527879714966,0.0074425674974918365,0.022077150642871857,-0.35539010167121887,0.00772700272500515,-0.34766310453414917,0.014726636931300163,0.023562271147966385,-0.3731217086315155,0.00824679434299469,-0.3648748993873596,-0.0690443217754364,-0.05637436360120773,-0.024758225306868553,-0.019731026142835617,-0.04448924958705902,0.009610521607100964,0.007607782259583473,-0.3731217086315155,0.0026627236511558294,-0.3704589903354645,-0.06855744868516922,-0.04845163971185684,0.2102997601032257,-0.016958072781562805,0.1933416873216629,0.054647017270326614,0.03934520483016968,0.09538828581571579,0.013770821504294872,0.10915910452604294,-0.039448123425245285,-0.04517349600791931,-0.06986119598150253,-0.01581072248518467,-0.08567191660404205,0.010880200192332268,0.018878180533647537,-0.1983553022146225,0.006607363000512123,-0.19174793362617493,0.03557446226477623,0.023503322154283524,-0.22234110534191132,0.008226162753999233,-0.2141149491071701
0.18,-0.1,0.0,0.0,0.23692333358396156,0.08519361771615319,1.0044380610717996,0.034126538783311844,0.5511898081749678,0.5358328657224775,0.5,0.03583286572247746,0.8316971659660339,0.03680029883980751,0.8192698359489441,-0.007781619671732187,-0.01856203004717827,-0.3713337182998657,-0.006496710237115622,-0.3778304159641266,0.016653668135404587,0.02605392411351204,-0.08368276804685593,0.009118873625993729,-0.0745638906955719,-0.013033777475357056,0.011543871834874153,-0.34826549887657166,0.004040354862809181,-0.344225138425827,0.07309113442897797,0.03842093050479889,-0.3713337182998657,0.013447325676679611,-0.357886403799057,-0.047337304800748825,-0.05366324633359909,-0.02266882359981537,-0.018782135099172592,-0.04145095869898796,0.022606734186410904,0.012107467278838158,-0.3713337182998657,0.004237613640725613,-0.36709609627723694,-0.04964018240571022,-0.048808202147483826,0.21870532631874084,-0.01708287000656128,0.20162245631217957,0.007638648152351379,0.029833238571882248,0.11755020916461945,0.010441632941365242,0.12799184024333954,0.011225167661905289,-0.028253894299268723,-0.04563502222299576,-0.009888863191008568,-0.055523887276649475,-0.039215199649333954,0.0014501651749014854,-0.1848263144493103,0.0005075578228570521,-0.18431875109672546,0.0664222463965416,0.036379002034664154,-0.22661642730236053,0.01273265015333891,-0.21388377249240875
0.2,-0.1,0.0,0.0,0.2206016665451769,0.15981302946871706,1.2366865746013396,0.048985011875629425,0.5734775178134441,0.5514342624694109,0.5,0.05143426246941085,0.8088512420654297,0.03838198632001877,0.7949510812759399,0.036416612565517426,-0.0020684367045760155,-0.3588525950908661,-0.0007239528349600732,-0.359576553106308,-0.00019073043949902058,0.01818052865564823,-0.08431919664144516,0.0063631851226091385,-0.07795601338148117,-0.012501468881964684,0.004330269061028957,-0.33131980895996094,0.0015155941946431994,-0.3298042118549347,0.058665450662374496,0.04449428617954254,-0.3588525950908661,0.015572999604046345,-0.3432796001434326,-0.09724407643079758,-0.06673749536275864,-0.02007916010916233,-0.023358123376965523,-0.04343728348612785,-0.002277705818414688,0.007791915442794561,-0.3588525950908661,0.0027271704748272896,-0.3561254143714905,-0.06037908047437668,-0.05227946490049362,0.22455516457557678,-0.018297811970114708,0.20625735819339752,0.019987918436527252,0.02687964215874672,0.13893423974514008,0.009407874196767807,0.14834211766719818,-0.005356541369110346,-0.02138468809425831,-0.020140422508120537,-0.007484640926122665,-0.027625063434243202,-0.02743203192949295,-0.007214494049549103,-0.16865913569927216,-0.0025250727776437998,-0.1711842119693756,0.03121011331677437,0.03482833504676819,-0.22814436256885529,0.012189917266368866,-0.21595445275306702
