center,trim,phase,full_lat_mean_abs_vy_m_s,full_lat_mean_abs_vx_m_s,full_lat_mean_abs_yaw_rad_s,yaw_only_mean_planar_m_s,mixed_lateral_rmse_m_s,score,latL_full_body_vy_m_s,latR_full_body_vy_m_s,latL_full_body_vx_m_s,latR_full_body_vx_m_s,latL_full_yaw_rad_s,latR_full_yaw_rad_s
0.0,0.0,-1.5707963267948966,0.008090648270094565,0.01971997412531249,0.017491725503759104,0.07008723376453734,0.1895205474691913,-0.03483526966487804,0.012836378178653247,0.003344918361535882,0.01708680824082585,0.022353140009799127,0.030843611876686088,0.00413983913083212
0.0,0.08,-1.5707963267948966,0.010132911159549191,0.018107008907854962,0.04383891803322041,0.07008723376453734,0.1869605295663118,-0.0322810031948475,0.017609707903088263,-0.0026561144160101215,0.020397950571179737,0.015816067244530187,0.059698190529450836,-0.027979645536989988
0.0,0.12,-1.5707963267948966,0.012979645310640602,0.01932321531343205,0.057193701038672565,0.07008723376453734,0.1862924682430008,-0.031818452142629294,0.019788246002558504,-0.006171044618722698,0.021498938299816157,0.01714749232704794,0.06832353236962696,-0.046063869707718176
0.0,0.18,-1.5707963267948966,0.0152519655563496,0.019943987830028338,0.07803844340778707,0.07008723376453734,0.1842541362514056,-0.036434125327791334,0.019056194609791476,-0.011447736502907722,0.02346484125620139,0.016423134403855285,0.080702485069158,-0.07537440174641612
0.0,0.24,-1.5707963267948966,0.017730522531559188,0.023038473968342868,0.09601244329262423,0.07008723376453734,0.18108110693399207,-0.03961186244879204,0.023671554110223012,-0.011789490952895365,0.027907336750577674,0.01816961118610806,0.10005034326219701,-0.09197454332305144
0.15,0.0,-1.5707963267948966,0.004792261721753738,0.022767032656623866,0.0014009952702735604,0.07008723376453734,0.19904503107982854,-0.040038552935346305,-0.00675977858865252,0.002824744854854957,0.025255395448874382,0.020278669864373346,0.0024093557826453025,-0.0003926347579018182
0.15,0.08,-1.5707963267948966,0.007391147048976647,0.027754696702363496,0.008515200948433128,0.07008723376453734,0.20194370981527493,-0.03801940335521267,-0.011735121872622841,0.0030471722253304534,0.02923531932239705,0.026274074082329946,0.0009416230433372993,-0.016088778853528957
0.15,0.12,-1.5707963267948966,0.008328941963899855,0.030299908443903303,0.007588957619256561,0.07008723376453734,0.20636385544348718,-0.037965637565931916,-0.013317139467355923,0.0033407444604437865,0.03218350493932394,0.028416311948482667,-0.002471257329216344,-0.012706657909296778
0.15,0.18,-1.5707963267948966,0.014742886220529427,0.031722836725376964,0.010287681896554046,0.07008723376453734,0.2096818321440874,-0.03221528864942239,-0.018721517040994163,0.01076425540006469,0.036245448407197796,0.027200225043556136,-0.016435207446350963,0.004140156346757129
0.15,0.24,-1.5707963267948966,0.019934697915088548,0.03663389112516384,0.014855687876596895,0.07008723376453734,0.21234045300686336,-0.02755520112741846,-0.021107392647204227,0.01876200318297287,0.0401357657663824,0.03313201648394529,-0.016937116410322917,0.012774259342870872
0.25,0.0,-1.5707963267948966,0.01410281481992813,0.031187818694309782,0.04421945992008828,0.07008723376453734,0.20293932516327162,-0.03150685865386053,-0.017792470898399543,0.010413158741456716,0.0359503736687534,0.026425263719866168,-0.040496033890354534,0.047942885949822024
0.25,0.08,-1.5707963267948966,0.020406858691364552,0.02821985574031563,0.04505435684784528,0.07008723376453734,0.21464679071256412,-0.02754430789228261,-0.03289824069917219,0.007915476683556915,0.032630654599089697,0.023809056881541567,-0.04730188840459467,0.04280682529109588
0.25,0.12,-1.5707963267948966,0.031077107273924945,0.04309501582183738,0.07483736549416156,0.07008723376453734,0.22576709609439904,-0.03011246017542378,-0.03669017441863117,0.025464040129218723,0.04721815974969107,0.0389718718939837,-0.08268395904067367,0.06699077194764946
0.25,0.18,-1.5707963267948966,0.033831751455036405,0.05528824263011115,0.08360060145820325,0.07008723376453734,0.22642761041885567,-0.03970197155282357,-0.0314109628614351,0.03625254004863771,0.05360087103180305,0.05697561422841926,-0.07114458869338362,0.09605661422302288
0.25,0.24,-1.5707963267948966,0.03428599060252604,0.06281253264507648,0.08720562057517398,0.07008723376453734,0.2309714828531382,-0.04706148109435419,-0.027515496963933055,0.041056484241119025,0.06264611763553396,0.062978947654619,-0.07991868351508491,0.09449255763526303
0.35,0.0,-1.5707963267948966,0.01872549125092666,0.043125509550128116,0.037870327479320065,0.07008723376453734,0.20912592509151762,-0.03046563437110729,-0.02712399678819966,-0.010326985713653659,0.03930109369780216,0.04694992540245407,-0.04214700960972998,0.03359364534891015
