time_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
15.68,0.011684096418321133,0.5175261446274817,0.012268301239237188,0.0,0.012268301239237188,1.067096471786499,0.055785585194826126,1.0779566764831543,0.08351868391036987,0.08094799518585205,-0.06302256137132645,0.028331797569990158,-0.03469076380133629,-0.029332568868994713,-0.02655011974275112,-0.26245927810668945,-0.00929254200309515,-0.2717518210411072,0.00344262458384037,-0.007521525025367737,-0.22867058217525482,-0.0026325336657464504,-0.2313031107187271,-0.025697918608784676,0.007328662555664778,-0.2950190305709839,0.002565031871199608,-0.2924540042877197,0.07249648123979568,0.040531549602746964,-0.3246985673904419,0.014186042360961437,-0.310512512922287,-0.03578506037592888,-0.03508647531270981,-0.800000011920929,-0.012280265800654888,-0.8122802972793579,0.07156427949666977,0.047277189791202545,-0.19651488959789276,0.01654701679944992,-0.17996788024902344,-0.01473946776241064,-0.026718515902757645,-0.192844957113266,-0.00935148075222969,-0.20219643414020538,-0.06871490925550461,-0.07085895538330078,-0.18873150646686554,-0.024800634011626244,-0.21353213489055634,-0.05767509341239929,-0.0681547075510025,-0.18633361160755157,-0.023854147642850876,-0.21018776297569275,0.03256143629550934,0.05047408863902092,-0.18690982460975647,0.017665930092334747,-0.16924390196800232
15.700000000000001,0.005201440304517746,0.5078021604567766,0.005461512319743633,0.0,0.005461512319743633,0.9874652624130249,0.05661003664135933,0.9970476031303406,0.08829675614833832,0.08315262198448181,-0.09123553335666656,0.029103416949510574,-0.06213211640715599,-0.031837355345487595,-0.02813629060983658,-0.19431333243846893,-0.009847701527178288,-0.20416103303432465,0.010468825697898865,-0.0021244194358587265,-0.15790565311908722,-0.0007435468141920865,-0.15864920616149902,-0.051049016416072845,-0.010184641927480698,-0.21640586853027344,-0.0035646245814859867,-0.2199704945087433,0.0986582338809967,0.057969555258750916,-0.2516815960407257,0.02028934471309185,-0.2313922494649887,-0.031147947534918785,-0.033904917538166046,-0.7818386554718018,-0.011866721324622631,-0.793705403804779,0.08475939929485321,0.058521851897239685,-0.19381794333457947,0.02048264816403389,-0.17333529889583588,0.0019547613337635994,-0.018116533756256104,-0.19209226965904236,-0.006340786814689636,-0.198433056473732,-0.06435602158308029,-0.06890807300806046,-0.19031816720962524,-0.02411782555282116,-0.21443599462509155,-0.05150347203016281,-0.06315933912992477,-0.18942680954933167,-0.02210576832294464,-0.2115325778722763,0.004523807670921087,0.03668900206685066,-0.18988604843616486,0.012841150164604187,-0.17704489827156067
15.72,-0.0025817537680268288,0.49612736934795976,0.0,0.0,0.0,0.8659386038780212,0.05906136333942413,0.8733176589012146,0.08990105241537094,0.08517715334892273,-0.1336309313774109,0.029812002554535866,-0.10381893068552017,-0.02742931991815567,-0.027924198657274246,-0.1340290755033493,-0.009773469530045986,-0.14380253851413727,0.011289284564554691,0.0018996918806806207,-0.09734368324279785,0.000664892140775919,-0.09667879343032837,-0.06721914559602737,-0.02729499340057373,-0.14690856635570526,-0.009553247131407261,-0.15646182000637054,0.11123588681221008,0.07394945621490479,-0.18476100265979767,0.025882309302687645,-0.15887869894504547,-0.028140412643551826,-0.032175567001104355,-0.6815526485443115,-0.01126144826412201,-0.6928141117095947,0.09178970754146576,0.06850221008062363,-0.19200000166893005,0.02397577278316021,-0.1680242270231247,0.01105093490332365,-0.009366292506456375,-0.19200000166893005,-0.0032782023772597313,-0.19527819752693176,-0.0645940825343132,-0.0676138773560524,-0.19200000166893005,-0.02366485632956028,-0.21566486358642578,-0.04738655686378479,-0.05842750519514084,-0.19200000166893005,-0.020449627190828323,-0.21244962513446808,-0.017095256596803665,0.020553722977638245,-0.19200000166893005,0.007193802855908871,-0.1848061978816986
15.74,-0.010770455934107304,0.48384431609883904,0.0,0.0,0.0,0.7726753950119019,0.0608215257525444,0.7803956270217896,0.09277162700891495,0.08745549619197845,-0.19436104595661163,0.03060942329466343,-0.16375161707401276,0.01277351938188076,-0.01571488380432129,-0.08372815698385239,-0.005500209052115679,-0.08922836929559708,0.008581363596022129,0.0039041934069246054,-0.05495237931609154,0.0013664676807820797,-0.05358591303229332,-0.0460376963019371,-0.0329178050160408,-0.09415427595376968,-0.01152123138308525,-0.10567550361156464,0.08297396451234818,0.07665681093931198,-0.12552706897258759,0.026829883456230164,-0.09869718551635742,-0.06163392961025238,-0.04101307690143585,-0.5833342671394348,-0.014354576356709003,-0.5976888537406921,0.09230224043130875,0.07564222067594528,-0.19200000166893005,0.02647477760910988,-0.16552522778511047,-0.016228580847382545,-0.011424979194998741,-0.19200000166893005,-0.003998742438852787,-0.19599874317646027,-0.06804946810007095,-0.06774455308914185,-0.19200000166893005,-0.023710593581199646,-0.2157105952501297,-0.051293931901454926,-0.056287433952093124,-0.19200000166893005,-0.01970060169696808,-0.21170060336589813,-0.02808019332587719,0.00596354715526104,-0.19200000166893005,0.002087241504341364,-0.18991276621818542
15.76,-0.02040354162454605,0.4693946875631809,0.0,0.0,0.0,0.7101312279701233,0.06032075360417366,0.7163150906562805,0.08678537607192993,0.08725446462631226,-0.2646408677101135,0.03053906187415123,-0.234101802110672,0.030427156016230583,-0.0018722712993621826,-0.044721536338329315,-0.0006552949198521674,-0.04537682980298996,-0.007913797162473202,0.00035879621282219887,-0.02430914156138897,0.00012557867739815265,-0.02418356202542782,-0.024307165294885635,-0.030334612354636192,-0.052529867738485336,-0.01061711460351944,-0.06314697861671448,0.0672249048948288,0.07382723689079285,-0.0769282877445221,0.025839531794190407,-0.05108875781297684,-0.06714247167110443,-0.04885189235210419,-0.4885317385196686,-0.017098162323236465,-0.5056298971176147,0.085545614361763,0.07861323654651642,-0.19200000166893005,0.027514632791280746,-0.164485365152359,-0.017374180257320404,-0.013209739699959755,-0.19200000166893005,-0.004623408894985914,-0.19662341475486755,-0.061886344105005264,-0.06598709523677826,-0.19200000166893005,-0.02309548296034336,-0.21509549021720886,-0.03880948945879936,-0.051044050604104996,-0.19200000166893005,-0.017865417525172234,-0.20986542105674744,-0.026539098471403122,-0.0037872465327382088,-0.19200000166893005,-0.001325536286458373,-0.19332553446292877
15.780000000000001,-0.01357481349259615,0.4796377797611058,0.0,0.0,0.0,0.6808599233627319,0.05858638510107994,0.6837601065635681,0.0804339200258255,0.08520829677581787,-0.34336209297180176,0.029822902753949165,-0.31353917717933655,0.05323227494955063,0.014659092761576176,-0.017624322324991226,0.005130682606250048,-0.012493640184402466,-0.01865309104323387,-0.005344770383089781,-0.0058972095139324665,-0.0018706696573644876,-0.007767879404127598,-0.004853861406445503,-0.022690387442708015,-0.022691737860441208,-0.007941635325551033,-0.03063337318599224,0.04011278599500656,0.06371290236711502,-0.03973104804754257,0.022299515083432198,-0.017431532964110374,-0.06862231343984604,-0.05478302016854286,-0.3986400067806244,-0.019174056127667427,-0.41781407594680786,0.08208402991294861,0.07965447753667831,-0.19200000166893005,0.02787906676530838,-0.16412094235420227,-0.03339273855090141,-0.019264638423919678,-0.19200000166893005,-0.006742623168975115,-0.19874262809753418,-0.0527569055557251,-0.06201803684234619,-0.19200000166893005,-0.021706312894821167,-0.21370631456375122,-0.042891547083854675,-0.04859830066561699,-0.19200000166893005,-0.01700940541923046,-0.20900940895080566,-0.004510781727731228,-0.0040043070912361145,-0.19200000166893005,-0.001401507412083447,-0.1934015154838562
15.8,-0.0065809572115540504,0.4901285641826689,0.0,0.0,0.0,0.6841949224472046,0.057260964065790176,0.6817194819450378,0.07440320402383804,0.08196676522493362,-0.42928338050842285,0.02868836745619774,-0.4005950093269348,0.06868332624435425,0.030866362154483795,-0.002863823203369975,0.010803226381540298,0.00793940294533968,-0.023271407932043076,-0.01072276197373867,-6.9187808549031615e-06,-0.003752966644242406,-0.0037598854396492243,-0.004732187837362289,-0.017302926629781723,-0.0051104105077683926,-0.006056024227291346,-0.011166434735059738,0.03469574823975563,0.055007755756378174,-0.014521908946335316,0.0192527137696743,0.0047308048233389854,-0.0596223883330822,-0.056234829127788544,-0.31507664918899536,-0.01968218944966793,-0.33475884795188904,0.08404166996479034,0.0809706375002861,-0.19200000166893005,0.028339723125100136,-0.16366027295589447,-0.03800372779369354,-0.024886365979909897,-0.19200000166893005,-0.008710227906703949,-0.2007102370262146,-0.042404577136039734,-0.056134000420570374,-0.19200000166893005,-0.0196468997746706,-0.2116468995809555,-0.041682157665491104,-0.04652345925569534,-0.19200000166893005,-0.01628321036696434,-0.2082832157611847,0.01262602023780346,0.0009847914334386587,-0.19200000166893005,0.0003446769842412323,-0.19165532290935516
15.82,-0.008637824095785618,0.4870432638563216,0.0,0.0,0.0,0.7162812352180481,0.05602645128965378,0.7093479037284851,0.06226568669080734,0.07605644315481186,-0.5210498571395874,0.02661975473165512,-0.4944300949573517,0.09084395319223404,0.04885964095592499,-0.0006728011067025363,0.017100874334573746,0.01642807386815548,-0.03964192792773247,-0.019398512318730354,-0.006731156259775162,-0.0067894794046878815,-0.013520635664463043,0.01876934990286827,-0.006481243297457695,-6.313267658697441e-05,-0.002268435200676322,-0.0023315679281949997,0.025391079485416412,0.046122752130031586,-0.0016984067624434829,0.016142962500452995,0.014444556087255478,-0.05838415026664734,-0.05687962472438812,-0.23915939033031464,-0.019907867535948753,-0.25906726717948914,0.07664456963539124,0.07967281341552734,-0.19200000166893005,0.02788548357784748,-0.16411451995372772,-0.04404280334711075,-0.030633296817541122,-0.19200000166893005,-0.010721653699874878,-0.20272165536880493,-0.034744951874017715,-0.04971728473901749,-0.19200000166893005,-0.01740104891359806,-0.20940105617046356,-0.03608934208750725,-0.043393224477767944,-0.19200000166893005,-0.01518762856721878,-0.20718762278556824,0.016110392287373543,0.0055224718526005745,-0.19200000166893005,0.0019328651251271367,-0.1900671422481537
15.84,-0.015693262219429016,0.4764601066708565,0.0,0.0,0.0,0.7718446850776672,0.05481819808483124,0.7611361742019653,0.05016928166151047,0.06829029321670532,-0.6172143220901489,0.023901602253317833,-0.5933127403259277,0.10002927482128143,0.06421053409576416,-0.011085807345807552,0.022473687306046486,0.011387879960238934,-0.04350053891539574,-0.026629120111465454,-0.025963885709643364,-0.009320192039012909,-0.03528407961130142,0.02374274469912052,0.00258595310151577,-0.007629497442394495,0.0009050835506059229,-0.006724413949996233,0.027187608182430267,0.04044220596551895,-0.0014627601485699415,0.014154772274196148,0.012692011892795563,-0.04378305748105049,-0.0529506541788578,-0.17208538949489594,-0.018532728776335716,-0.1906181126832962,0.07339619100093842,0.07778982818126678,-0.19200000166893005,0.027226438745856285,-0.16477356851100922,-0.04325060173869133,-0.034418489784002304,-0.19200000166893005,-0.012046471238136292,-0.20404647290706635,-0.032768961042165756,-0.04463278502225876,-0.19200000166893005,-0.01562147494405508,-0.2076214700937271,-0.018046511337161064,-0.035789210349321365,-0.19200000166893005,-0.012526223435997963,-0.20452623069286346,0.01699483022093773,0.008964179083704948,-0.19200000166893005,0.0031374625395983458,-0.18886253237724304
15.860000000000001,-0.024093106389045715,0.4638603404164314,0.0,0.0,0.0,0.8461431860923767,0.0523662306368351,0.8329063057899475,0.03422107547521591,0.05806952714920044,-0.7162603735923767,0.020324334502220154,-0.6959360241889954,0.0901319608092308,0.07198696583509445,-0.033938635140657425,0.025195438414812088,-0.008743196725845337,-0.035072434693574905,-0.02916211448609829,-0.05740181729197502,-0.010206740349531174,-0.0676085576415062,0.013408077880740166,0.005832590628415346,-0.027690187096595764,0.002041406696662307,-0.025648780167102814,0.03449281305074692,0.03865738958120346,-0.013818684034049511,0.013530085794627666,-0.0002885982394218445,-0.023391777649521828,-0.044082991778850555,-0.11491234600543976,-0.01542904693633318,-0.13034139573574066,0.07059769332408905,0.07563218474388123,-0.19200000166893005,0.02647126466035843,-0.16552874445915222,-0.03933253511786461,-0.035892702639102936,-0.19200000166893005,-0.012562445364892483,-0.20456244051456451,-0.029976852238178253,-0.04023600369691849,-0.19200000166893005,-0.01408260129392147,-0.20608259737491608,-0.003099585883319378,-0.025982322171330452,-0.19200000166893005,-0.0090938126668334,-0.20109380781650543,0.02699703350663185,0.014374036341905594,-0.19200000166893005,0.005030912812799215,-0.1869690865278244
