trial,generation,score,mean_signed_yaw_rate_rad_s,min_signed_yaw_rate_rad_s,mean_planar_speed_m_s,max_planar_speed_m_s,action_energy,left_body_vx_m_s,left_body_vy_m_s,left_planar_speed_m_s,left_yaw_rate_rad_s,right_body_vx_m_s,right_body_vy_m_s,right_planar_speed_m_s,right_yaw_rate_rad_s,slide_bias,slide_amp,slide_freq,slide_wave_n,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase_rad
0,0,-1.9210262277713195,0.18459510074032565,0.17937886418534124,0.09472473766788267,0.10015019125871384,0.2514221668243408,0.0032360869804284125,0.08924062907515301,0.0892992840770515,0.18981133729531008,0.013118237229842365,-0.09928732376863897,0.10015019125871384,-0.17937886418534124,0.4238479001018377,0.42086873560913307,1.4926975344152156,2.070712912914516,0.31144887082754247,0.6261896195524088,-0.1454702294020942,3.0065524691841787
1,0,-1.8747749290057045,0.009488982983146302,-0.0031950790885213465,0.032406679102352606,0.03718718999475138,0.5801579356193542,0.02269510744139999,-0.029458771154429506,0.03718718999475138,-0.0031950790885213465,0.0158109571967911,0.02265433297375809,0.027626168209953828,-0.02217304505481395,0.5908882237144427,0.5202954605151695,0.9111070727784355,2.995581839969443,0.9077247682785553,0.2844584730251015,1.1324679327106448,0.42881494104187423
2,0,-2.6212722792710808,-0.12216286851542527,-0.12642804568057842,0.035507882130722625,0.036896827109170444,0.3545735776424408,-0.03286268663806164,-0.016775567878691316,0.036896827109170444,-0.11789769135027213,-0.02793370903639611,0.01959106357171148,0.034118937152274806,0.12642804568057842,0.6073111252018559,0.2838259066707028,0.9860736919702219,0.9515225077835887,0.4952756916374752,0.10443891321375141,-0.2002156124715655,-0.42828564436046923
3,0,-0.4812489216465006,0.21597072333172582,0.21494762348067356,0.030566806077180916,0.031417389344981485,0.3733927011489868,0.026838805705998628,0.01633189705851135,0.031417389344981485,0.21699382318277807,0.024261776244129066,-0.017158674527379767,0.029716222809380348,-0.21494762348067356,0.4726725321417378,0.19498702858346903,1.1119293836072295,-1.9472069877097349,0.8765705856365342,0.12031086881331271,0.7105978674131608,1.5352591118956163
4,0,-1.2674051871120688,0.03280435372640515,0.03136933355465129,0.013709523980253137,0.013864797716027938,0.4462434947490692,-0.013530795452109072,0.003024928121387017,0.013864797716027938,0.03423937389815901,-0.013479355343817986,-0.0014229122267471535,0.013554250244478337,-0.03136933355465129,0.6540694970161128,0.470718384220048,1.425686970012896,1.2967687730427695,0.3481805184976361,0.17299918761196859,-1.1179818246633444,1.922090635558436
5,0,-1.6143293894793254,0.06433369074181683,0.0640772284548606,0.043373255947838876,0.04373755601916797,0.6014838218688965,0.0429972020381896,0.001005436459787473,0.04300895587650979,0.06459015302877306,0.04372256647436224,-0.0011449835915118692,0.04373755601916797,-0.0640772284548606,0.730727260685263,0.4210474039824552,1.4775243850403668,0.9694964719176515,0.8146612695882478,0.060248149621602236,1.0213227963063263,1.5863249854854766
6,0,-2.410607281021191,-0.07855691347399382,-0.09296986573157429,0.0352033689925795,0.03731828529998239,0.494242787361145,0.02167816542724262,-0.024998056820646552,0.0330884526851766,-0.06414396121641334,0.03246579008013834,0.01840181763313811,0.03731828529998239,0.09296986573157429,0.5551685880474411,0.8632168608663328,0.5583707532675477,1.6871990394089824,0.5932628301188221,0.36929863250719946,2.5162259074853424,1.4145523504310482
7,0,-1.3099406041612518,0.06721770783499474,0.06601114140122515,0.027699430499635323,0.028039019524086217,0.18591170012950897,-0.02745214532096812,-0.005706691961945746,0.028039019524086217,0.06601114140122515,-0.026890469956175306,0.005046142198081139,0.027359841475184426,-0.06842427426876434,0.2938023911161582,0.33807611732753756,0.7094810121971854,0.7760238488486224,0.5177344277970449,0.14918633226190453,-1.002294598871537,1.2211428318592983
8,0,-5.335227447514377,-0.34778508369886585,-0.3506664549147554,0.11078276225965442,0.11277788474246203,0.34947675466537476,0.10149039242506047,-0.039172066752013616,0.10878763977684681,-0.3506664549147554,0.10605294036320619,0.038361766477865454,0.11277788474246203,0.3449037124829763,0.43924227192704807,0.33063149009197756,0.8768677419427477,2.9436366991404066,0.7876491236675274,0.35273417467712304,0.6701018783923431,2.7848942537120633
9,0,-1.8863752627990413,0.01940856220661776,0.019379371578933064,0.043754067952131465,0.04430401776735017,0.2618776857852936,-0.04284970210626888,0.005522576698637173,0.04320411813691276,0.019437752834302453,-0.0432943615208086,-0.00940448035965872,0.04430401776735017,-0.019379371578933064,0.373377883187733,0.4140807150219264,1.2980738752968894,0.5622389332059758,0.5748602146293569,0.42408153443220675,-0.9256241412853337,0.9025601065905624
10,0,-0.8272248189322029,0.2497389426617499,0.22397840376532022,0.05000046062823992,0.05639661763875353,0.37386009097099304,0.04195712201652197,0.011871613457215787,0.04360430361772631,0.22397840376532022,0.05412437815817652,-0.015847087116642924,0.05639661763875353,-0.27549948155817955,0.2565020101377977,0.5717789943527156,0.7710236064058495,0.5030950799686003,0.81942547726867,0.3415844114018305,0.33481580398678235,-0.7834793074901745
11,0,-1.1266466829559478,0.2349155154405965,0.2282720036954853,0.07157178948001414,0.07224266285777001,0.45988985896110535,0.06293172341092182,0.03265789479851235,0.07090091610225827,0.24155902718570768,0.06204428207010177,-0.03700688313256157,0.07224266285777001,-0.2282720036954853,0.5589305046808336,0.3064418596364835,1.3328548145663803,-0.06780909825456316,0.8249643755463942,0.27725316177541104,0.5061596019014338,1.285712753402958
12,1,-1.5461423616081078,0.14682571535206806,0.1450554496829263,0.06548303016355095,0.06742256298433409,0.3204728662967682,0.05157803065850281,0.03711445551184716,0.06354349734276779,0.1450554496829263,0.055934942698732816,-0.0376441786291848,0.06742256298433409,-0.14859598102120986,0.551644880952677,0.21933284063591296,1.009554798653424,-0.9414424402366413,0.5236878164563699,0.38165979366237796,-0.0322635890018268,0.701818370936611
