mode,direction_label,head_delta_x_mm,head_delta_y_mm,head_delta_z_mm,head_unit_x,head_unit_y,world_xy_angle_deg,forward_minus_x_mm,lateral_y_mm,head_displacement_mm,forward_speed_mm_s
snake,backward (+X),77.14410971515218,-41.21745621349751,-13.350929777482007,0.8820017202455736,-0.47124618352178615,-28.115219449514,-77.14410971515218,-41.21745621349751,88.47790507453415,-12.85735161919203
worm,backward (+X),201.30269874600327,-6.892370872320929e-06,-35.4856488430534,0.9999999999999994,-3.423883989264087e-08,-1.961741021272479e-06,-201.30269874600327,-6.892370872320929e-06,204.40647689404727,-33.550449791000545
combined,backward (+X),126.57452844210326,-68.67471465982683,-22.107180658901775,0.8789616422342897,-0.47689247370953597,-28.48264048271031,-126.57452844210326,-68.67471465982683,145.69164396297668,-21.095754740350543
