mode,direction_label,head_delta_x_mm,head_delta_y_mm,head_delta_z_mm,head_unit_x,head_unit_y,world_xy_angle_deg,forward_minus_x_mm,lateral_y_mm,head_displacement_mm,forward_speed_mm_s
snake,forward (-X),-182.84181781449777,-13.662920208290217,-0.0248485871656573,-0.9972196987173293,-0.07451759852624776,-175.72649482643712,182.84181781449777,-13.662920208290217,183.3515921604729,30.473636302416296
worm,forward (-X),-121.79355931510885,-8.9375807956656e-05,0.009549229974523121,-0.9999999999997308,-7.338303310883255e-07,-179.99995795461913,121.79355931510885,-8.9375807956656e-05,121.79355968949557,20.298926552518143
combined,forward (-X),-257.00719301950545,-22.367966732676297,0.19615255758947958,-0.9962340567829906,-0.08670469483081691,-175.0259413456953,257.00719301950545,-22.367966732676297,257.9788008254657,42.83453216991757
