target_compression_mm,target_compression_m,actual_compression_mm,actual_compression_m,compression_mm,compression_m,mean_qpos_m,mean_force_n,std_force_n,max_force_n
0.000,0.000000,0.000,0.000000,0.000,0.000000,-0.000000,0.000000,0.000000,0.000000
10.000,0.010000,2.958,0.002958,10.000,0.010000,0.002958,28.184461,0.406877,28.928434
25.000,0.025000,15.072,0.015072,25.000,0.025000,0.015072,39.769774,1.280788,42.341127
50.000,0.050000,40.317,0.040317,50.000,0.050000,0.040317,38.707717,1.234343,40.000322
