cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.07473569532992881,0.04087274850153438,0.0011070599980995688,6.0,-12524.348179229533,False,0.291547594742265,0.08518219136954405,0.1752643046700712,0.19087274850153438,0.25913313684670575,0.0011070599980995688,0.043056474426925756,0.07349929072066691,True,True
-0.25,-0.075,0.0,-0.0796429449552895,0.011914286698525067,-0.01736030746623755,6.0,-12448.372977146464,False,0.26100766272276377,0.08052918047941332,0.1703570550447105,0.08691428669852506,0.19124753445683929,0.01736030746623755,0.07286056101974515,0.03429704880268731,True,True
-0.25,0.0,0.0,-0.07389080319541538,0.050939250540811803,0.013116337331761022,6.0,-12434.770287081077,False,0.25,0.08974774672671847,0.17610919680458462,0.050939250540811803,0.18332827508274743,0.013116337331761022,0.07389080319541538,0.050939250540811803,True,True
-0.25,0.075,0.0,-0.0733652501238305,0.032327548943812415,0.006154129563780068,6.0,-12193.358478327082,False,0.26100766272276377,0.08017188002315274,0.1766347498761695,-0.04267245105618758,0.18171618789463884,0.006154129563780068,0.07956041782497622,0.009882826618028051,True,True
-0.25,0.15,0.0,-0.07631210880903212,0.01555543814637246,-0.010377927599288572,6.0,-12358.686364650515,False,0.291547594742265,0.07788138164418489,0.1736878911909679,-0.13444456185362752,0.21964249078532,0.010377927599288572,0.07344030035007504,0.02592357790309715,True,True
-0.125,-0.15,0.0,0.03715475888794629,-0.14203070120643072,-0.1364277480813428,6.0,-17084.628153305563,False,0.19525624189766635,0.1468100684326924,0.16215475888794628,0.00796929879356928,0.16235047136756078,0.1364277480813428,0.08532511000955836,0.11946891560179404,True,False
-0.125,-0.075,0.0,-0.03661565312982766,0.03290660533227078,0.02858320860068031,6.0,-9707.275614375667,False,0.1457737973711325,0.04922957168834287,0.08838434687017234,0.10790660533227078,0.13948343358980447,0.02858320860068031,0.014467354760189474,0.04705577939913983,True,True
-0.125,0.0,0.0,-0.029582096957135904,0.026824810463003664,0.02352549786705967,6.0,-8484.624408977437,False,0.125,0.03993333089985683,0.0954179030428641,0.026824810463003664,0.09911683347178463,0.02352549786705967,0.029582096957135904,0.026824810463003664,True,True
-0.125,0.075,0.0,-0.03555874814099049,0.04066597119362734,0.0343630185719029,6.0,-9817.001838138245,False,0.1457737973711325,0.054019864702489984,0.0894412518590095,-0.03433402880637266,0.09580481756249838,0.0343630185719029,0.05141384454755277,0.016575957628909493,True,True
-0.125,0.15,0.0,-0.01987438712455414,0.0815252681610338,0.13578727509644684,6.0,-11664.153817348475,False,0.19525624189766635,0.08391281554271143,0.10512561287544586,-0.0684747318389662,0.12545988754520881,0.13578727509644684,0.07535271841622075,0.036923277747118566,True,False
0.0,-0.15,0.0,0.035374431581473076,-0.15385707674183347,-0.12656462066406413,6.0,-22220.855930734328,False,0.15,0.15787130984841657,0.035374431581473076,-0.0038570767418334706,0.03558408985353865,0.12656462066406413,0.15385707674183347,0.035374431581473076,True,False
0.0,-0.075,0.0,-0.08123257201328568,-0.037651608426672874,0.07450337932250443,6.0,-21940.510054547343,False,0.075,0.08953420783705604,-0.08123257201328568,0.037348391573327124,0.08940712001293978,0.07450337932250443,0.037651608426672874,0.08123257201328568,True,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4329239623141,False,0.0,4.833684302680765e-05,-2.409727367683958e-06,-4.827673982169548e-05,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,-0.03147526132757741,0.022249552185058395,0.03714634982368933,6.0,-8823.225051058767,False,0.075,0.03854522860322567,-0.03147526132757741,-0.052750447814941606,0.06142720749241469,0.03714634982368933,0.022249552185058395,0.03147526132757741,True,True
0.0,0.15,0.0,-0.01767250054183747,0.07769996276511586,0.12771820764856834,6.0,-15506.183139896713,False,0.15,0.07968438673354798,-0.01767250054183747,-0.07230003723488414,0.0744285742142551,0.12771820764856834,0.07769996276511586,0.01767250054183747,True,False
0.125,-0.15,0.0,0.08608131628587971,-0.12822079484657198,-0.224155066269026,6.0,-16760.025946704434,False,0.19525624189766635,0.15443628215091285,-0.038918683714120286,0.021779205153428016,0.04459818067090671,0.224155066269026,0.15360985887683026,0.01595545362679018,True,False
0.125,-0.075,0.0,0.05292687554453506,0.004712957803181661,0.008337938675810156,6.0,-12690.692794808227,False,0.1457737973711325,0.0531362976331742,-0.07207312445546493,0.07971295780318166,0.10746483569291286,0.008337938675810156,0.04295962457426108,0.031271980791114255,True,True
0.125,0.0,0.0,0.05438709958075482,-0.012283669830372249,0.026125880595233724,6.0,-12919.219977191933,False,0.125,0.055757018798609906,-0.07061290041924517,-0.012283669830372249,0.071673358021791,0.026125880595233724,0.05438709958075482,0.012283669830372249,True,True
0.125,0.075,0.0,0.053322979426187495,0.009603088952421434,0.027435872238464592,6.0,-12828.091105024503,False,0.1457737973711325,0.05418080335611252,-0.0716770205738125,-0.06539691104757857,0.09702757985698522,0.027435872238464592,0.050664826140885126,0.019199865739833122,True,True
0.125,0.15,0.0,-0.024522698567227805,0.0719200338434937,0.1136809404690829,6.0,-10796.82176062557,False,0.19525624189766635,0.07598588035331562,-0.1495226985672278,-0.0780799661565063,0.16868170766810264,0.1136809404690829,0.03955145136752157,0.06488094256244258,True,False
0.25,-0.15,0.0,0.07628779380084964,-0.012090458696228226,-0.009290578894016077,6.0,-14103.998515885341,False,0.291547594742265,0.07723992927551238,-0.17371220619915034,0.13790954130377175,0.22179939622368872,0.009290578894016077,0.07163673318282711,0.028882263300832094,True,True
0.25,-0.075,0.0,0.07804018211289156,-0.026160276936905816,-0.022134395313204935,6.0,-14228.578353598907,False,0.26100766272276377,0.08230814123541416,-0.17195981788710846,0.048839723063094184,0.17876100670069867,0.022134395313204935,0.08226603799482297,0.002632319559481137,True,True
0.25,0.0,0.0,0.13118302065167778,0.015209221872013172,0.0017065643301221733,6.0,-14598.796130499522,False,0.25,0.13206174819852506,-0.11881697934832222,0.015209221872013172,0.11978645587632916,0.0017065643301221733,0.13118302065167778,0.015209221872013172,True,True
0.25,0.075,0.0,0.0807120485581404,0.0015795566497235347,0.007726927228463539,6.0,-14467.879414087369,False,0.26100766272276377,0.08072750325422742,-0.1692879514418596,-0.07342044335027646,0.1845236353563753,0.007726927228463539,0.07776200390646312,0.021679495614808784,True,True
0.25,0.15,0.0,0.055710471616125405,-0.030996494408700778,-0.007792247796972296,6.0,-13881.590634343213,False,0.291547594742265,0.06375295533008438,-0.1942895283838746,-0.18099649440870078,0.26553371128327047,0.007792247796972296,0.03182377049252742,0.05524207585671156,True,True
0.0,0.0,-0.5,0.05929188312056994,-0.029092162568627542,-0.3811365951483428,6.0,-4796.616238826719,False,0.0,0.06604454047764115,0.05929188312056994,-0.029092162568627542,0.06604454047764115,0.1188634048516572,0.0,0.06604454047764115,False,True
0.0,0.0,-0.25,0.06710071532856782,-0.031760383301165276,-0.40917713008900675,6.0,-3894.3328809309296,False,0.0,0.07423764506665358,0.06710071532856782,-0.031760383301165276,0.07423764506665358,0.15917713008900675,0.0,0.07423764506665358,False,True
0.0,0.0,0.25,0.057270237019786736,0.02796340531947168,0.3766622120462966,6.0,-3597.2821542820175,False,0.0,0.06373250415105002,0.057270237019786736,0.02796340531947168,0.06373250415105002,0.12666221204629657,0.0,0.06373250415105002,False,True
0.0,0.0,0.5,0.05773957003790855,0.028498696612685826,0.37949571689401945,6.0,-4781.181251548971,False,0.0,0.06438970148078384,0.05773957003790855,0.028498696612685826,0.06438970148078384,0.12050428310598055,0.0,0.06438970148078384,False,True
-0.125,0.0,-0.25,-0.011958371161834791,0.06456381221548131,0.11220893939711744,6.0,-6657.095999279139,False,0.125,0.06566192571528903,0.11304162883816521,0.06456381221548131,0.13018024311769216,0.36220893939711746,0.011958371161834791,0.06456381221548131,True,False
-0.125,0.0,0.25,-0.01098522404434294,-0.06726337347263343,-0.11532407134124001,6.0,-6805.514243558274,False,0.125,0.06815450504716014,0.11401477595565707,-0.06726337347263343,0.1323772282046185,0.36532407134124,0.01098522404434294,0.06726337347263343,True,False
0.125,0.0,-0.25,0.04626052773664264,0.019407684360036273,0.019209794063106262,6.0,-8583.492952340164,False,0.125,0.05016666860268359,-0.07873947226335737,0.019407684360036273,0.08109600917758421,0.26920979406310624,0.04626052773664264,0.019407684360036273,True,False
0.125,0.0,0.25,0.048188834353255404,-0.02277257115773917,-0.0075590826898755585,6.0,-8679.958859946588,False,0.125,0.053298721874542,-0.07681116564674459,-0.02277257115773917,0.08011582343798215,0.25755908268987554,0.048188834353255404,0.02277257115773917,True,False
0.25,0.0,-0.25,0.07916123159161818,-0.009143016408515715,-0.036980922279584195,6.0,-9770.135979592502,False,0.25,0.07968748544249715,-0.1708387684083818,-0.009143016408515715,0.17108325324338178,0.2130190777204158,0.07916123159161818,0.009143016408515715,True,True
0.25,0.0,0.25,0.07819563883864454,-0.01054637688533034,0.07631952130663204,6.0,-9541.582016231405,False,0.25,0.07890363742433656,-0.17180436116135545,-0.01054637688533034,0.17212775656316703,0.17368047869336795,0.07819563883864454,0.01054637688533034,True,True
