trial,generation,direction,score,axial_term,lateral_penalty,yaw_penalty,axial_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_axial_m_s,abs_lateral_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,reverse,-2.006784981033593,-0.018816153164831838,0.3711797102657412,1.073308611651247,1.0470403829120796,0.0047040382912079595,0.029694376821259295,-0.0047040382912079595,0.029694376821259295,0.21466172233024938,6.0,False,0.3632340729236603,-0.49367005451610513,0.5124774923293922,0.8624881014493218,0.7058026849906875,1.538140186654818,0.17326503621517686,1.1008117066966812,-0.257598700957141,0.5942691755554002,0.22443451175642393,-0.0030116007385810883
1,0,reverse,-2.3973705829692893,-0.190731358758366,0.4036273222655728,0.37544420522094574,1.476828396895915,0.0476828396895915,0.032290185781245824,-0.0476828396895915,0.032290185781245824,0.07508884104418916,6.0,False,0.15687480568885803,-0.43769696809920056,0.0964029748827897,1.2790729924502084,-1.521117815451889,2.7092176204853056,0.10793030424097552,1.0087852162778321,0.8250245619471777,-2.332714628134598,-0.1456725128576924,-0.2676241975521281
2,0,reverse,-1.436234297763489,0.07971877873384463,0.6842286561593403,0.22350818818520263,0.8007030531653884,-0.019929694683461157,-0.05473829249274722,0.019929694683461157,0.05473829249274722,-0.04470163763704053,6.0,False,0.48910507559776306,-0.6506469186947487,0.5298320799177015,0.46359946269103486,2.9907661471517386,2.7024408046228396,0.5115546231501118,1.3626434918279864,-1.3822141580282592,-0.7153998608969512,-0.07246262213552002,-0.17876518990657947
3,0,reverse,-1.6184599967624849,-0.05501808806762276,0.1551758470770652,0.2102505300464515,1.1375452201690568,0.01375452201690569,0.012414067766165215,-0.01375452201690569,0.012414067766165215,0.0420501060092903,6.0,False,0.14553026854991913,-0.2333633456735904,0.4044758830455929,1.4438477119484545,0.20211806856880754,2.914429875867624,0.244331317106166,0.8522877796435915,1.3284479902376987,0.8732097849940432,-0.20501359151626075,-0.1615446868155016
4,0,reverse,-2.142714817565857,-0.10498443587452122,0.3033678625993207,0.7022244027715766,1.262461089686303,0.026246108968630305,-0.024269429007945657,-0.026246108968630305,0.024269429007945657,-0.14044488055431534,6.0,False,0.4793491065502167,-0.657368986927351,0.41474799139198043,0.5086280586717612,0.6103928598520971,1.7527716927142176,0.030678533732475487,0.9132426160879135,2.952195964636431,-0.8926862462868188,-0.21788371673462675,0.05218789866158513
5,0,reverse,-2.0424315508900492,-0.1431750684124667,0.16864107627421354,0.33910123165226014,1.3579376710311668,0.03579376710311667,0.013491286101937084,-0.03579376710311667,0.013491286101937084,0.06782024633045203,6.0,False,0.3759511709213257,-0.5010948009369327,0.6549865964620449,0.446673270173191,1.0807116417577411,3.1213124184491603,0.32819848588153383,0.75156435707772,1.2933595012360994,1.814195241126832,0.020235964263583317,0.031476744010256574
6,0,reverse,-2.7289346930325524,-0.16794303140076586,0.2720540954158088,1.4970969837599253,1.4198575785019145,0.041985757850191464,0.021764327633264708,-0.041985757850191464,0.021764327633264708,0.2994193967519851,6.0,False,0.33168813586235046,-0.41029962800643405,0.395542108397443,0.7663943835257669,1.4523243943898922,1.2172614407945428,0.5065229552179855,0.919062260718302,2.7060578979314105,1.3888063298259459,0.2919721333526113,-0.3615868367746422
7,0,reverse,-2.523141484136538,-0.2663530691181109,0.2563569884687189,0.18515469986430572,1.6658826727952774,0.06658826727952773,-0.02050855907749751,-0.06658826727952773,0.02050855907749751,0.037030939972861145,6.0,False,0.3888775110244751,-0.4468899254392298,0.8859848428475847,1.4960069580042392,0.9129107985302287,2.5667185443435123,0.15270841391450038,0.9818275857241279,0.8772541397400877,0.6500359887412879,-0.047205025348735274,-0.12683931646101332
8,0,reverse,-3.209774030299456,-0.24404995535582005,1.0026242004036416,0.8321267444948683,1.6101248883895503,0.06101248883895501,0.08020993603229133,-0.06101248883895501,0.08020993603229133,0.16642534889897367,6.0,False,0.37057217955589294,-0.5591591946840938,0.3997094985053125,0.8238369671730474,-1.071642771354934,3.066275256881494,0.21381265193618634,0.8786216200083053,-0.48351825738209797,0.883467467863154,0.08924278849792866,-0.39692170936699167
9,0,reverse,-1.7359190714030803,-0.04518373555749627,0.027628070077182085,0.7405859894663372,1.1129593388937407,0.011295933889374067,-0.0022102456061745667,-0.011295933889374067,0.0022102456061745667,0.14811719789326747,6.0,False,0.19810941815376282,-0.26864404358165983,0.4731610878704757,1.1492119338124982,1.860172183358583,2.3547875903381668,0.06404290517294259,1.4928885900546665,-0.0046398099237343615,-0.4919752692400423,0.18796725008136117,-0.3239426735832712
