cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.05995557475544208,0.07337138913472378,0.029411142404546453,6.0,-8776.148141964763,False,0.29327744722448496,0.029411142404546453,0.01366221293018447,0.09376233585862058,True,True
-0.25,-0.075,0.0,-0.06800254001735608,0.0035782690855879467,-0.04861677672641088,6.0,-9686.310497027258,False,0.19823627269655053,0.04861677672641088,0.06410641223469574,0.022967746272898448,True,True
-0.25,0.0,0.0,-0.06549256596351188,0.05673136233808049,0.025284427459250452,6.0,-8780.663839056684,False,0.19303222706963621,0.025284427459250452,0.06549256596351188,0.05673136233808049,True,True
-0.25,0.075,0.0,-0.059918165533853096,0.0725486140411584,0.023123790240322222,6.0,-9146.358435943337,False,0.19009764092995704,0.023123790240322222,0.07823788475605227,0.05227161131181885,True,True
-0.25,0.15,0.0,-0.06904632874992976,0.042453082110369765,0.009609020258134482,6.0,-9010.654623210012,False,0.2105007617241262,0.009609020258134482,0.08104866900008895,0.0008791745146433812,True,True
-0.125,-0.15,0.0,0.1017407972758843,-0.14366066499694535,-0.2246095395111748,6.0,-13326.832500747825,False,0.2268293991474311,0.2246095395111748,0.045230308666315756,0.17012876204700647,True,False
-0.125,-0.075,0.0,-0.036604559605682555,0.03307180169590864,0.024035293693845865,6.0,-7026.290325330912,False,0.13961829466192863,0.024035293693845865,0.014372849313810082,0.04719172654122735,True,True
-0.125,0.0,0.0,-0.02611798606966592,0.03408882564645811,0.027471559095472237,6.0,-6178.652015558614,False,0.10459302420751301,0.027471559095472237,0.02611798606966592,0.03408882564645811,True,True
-0.125,0.075,0.0,-0.03337611803216701,0.042756249699988536,0.033997224479550114,6.0,-7197.933354415239,False,0.0971318443161916,0.033997224479550114,0.05061769408897365,0.019491310587541208,True,True
-0.125,0.15,0.0,-0.026601645998205446,0.07865783271468339,0.11345951604158692,6.0,-8124.080798702832,False,0.12153987371734667,0.11345951604158692,0.07745657967187858,0.029919566887220878,True,False
0.0,-0.15,0.0,0.034497405405963195,-0.14844913738522683,-0.11580406545010558,6.0,-18079.511637497933,False,0.03453224803851148,0.11580406545010558,0.14844913738522683,0.034497405405963195,True,False
0.0,-0.075,0.0,-0.07789081790482917,-0.005173257800755547,0.12081355640705678,6.0,-18091.107859519114,False,0.10460761654890624,0.12081355640705678,0.005173257800755547,0.07789081790482917,True,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4339250268386,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,-0.029733913881292543,0.031806971692408224,0.04507595185233101,6.0,-7315.2691587552645,False,0.05243799509020673,0.04507595185233101,0.031806971692408224,0.029733913881292543,True,True
0.0,0.15,0.0,-0.013460694358713185,0.0832035445598878,0.1267687574953753,6.0,-12211.128486929321,False,0.06813924531414761,0.1267687574953753,0.0832035445598878,0.013460694358713185,True,False
0.125,-0.15,0.0,0.029154477444644184,-0.12814344800874014,-0.10292315715283092,6.0,-11996.043505361251,False,0.09830601740918948,0.10292315715283092,0.11710676524172531,0.05963834636589442,True,False
0.125,-0.075,0.0,0.053285880847010865,-0.012511957207115405,-0.008198715004099189,6.0,-9278.443097030902,False,0.09511924294260599,0.008198715004099189,0.0521296147418251,0.016686444728084483,True,True
