cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06491818959863446,0.019080373594492807,-0.01019163130269011,6.0,-8818.007216951086,False,0.2506859574772793,0.01019163130269011,0.04585011710455672,0.04976141837576684,True,True
-0.25,-0.075,0.0,-0.06484926352162253,0.04530691214408694,0.004588004722425006,6.0,-9259.340419245877,False,0.22080432135293604,0.004588004722425006,0.049095483772099664,0.062030450107284835,True,True
-0.25,0.0,0.0,-0.0779507022407268,0.014230607530151094,-0.01610171775231839,6.0,-8870.731965607876,False,0.172636818350363,0.01610171775231839,0.0779507022407268,0.014230607530151094,True,True
-0.25,0.075,0.0,-0.06868632054125424,0.041389653338971544,0.0024974211984958306,6.0,-9221.793054417154,False,0.184402564411516,0.0024974211984958306,0.07768279262081632,0.019907228929396694,True,True
-0.25,0.15,0.0,-0.07552706157033322,0.012825396054993223,-0.027347698845314444,6.0,-9050.834897339382,False,0.22194070877545596,0.027347698845314444,0.07136253282838746,0.02786066621123164,True,True
-0.125,-0.15,0.0,0.06415245663318551,-0.13968478510704205,-0.1870634213671066,6.0,-12974.753903890676,False,0.18943351210558557,0.1870634213671066,0.06623942241849885,0.13870730262007452,True,False
-0.125,-0.075,0.0,-0.03339311432151319,0.04384987109851223,0.04032043909976868,6.0,-7189.093414031521,False,0.15005703370333667,0.04032043909976868,0.006073786741979096,0.05478156983930587,True,True
-0.125,0.0,0.0,-0.028733993140449273,0.03235787343757805,0.02973479413647606,6.0,-6248.613628852254,False,0.10155873202283193,0.02973479413647606,0.028733993140449273,0.03235787343757805,True,True
-0.125,0.075,0.0,-0.03667462544942677,0.03659289087557189,0.03133864409402487,6.0,-7269.992200869026,False,0.09631447357897348,0.03133864409402487,0.0502751189103451,0.012509205931549588,True,True
-0.125,0.15,0.0,-0.012884374747555409,0.078814922428953,0.13837879143508477,6.0,-8602.143557289703,False,0.13280522841568615,0.13837879143508477,0.06879567627255413,0.040558032944402696,True,False
0.0,-0.15,0.0,0.004067119295240837,-0.10945609245028094,-0.06386052347738651,6.0,-17761.19683131228,False,0.04074739131235135,0.06386052347738651,0.10945609245028094,0.004067119295240837,True,False
