time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.010440154710851409,-0.0018024387562139105,0.09127587364878816,0.010490017824933645,-0.0022147460360015946,0.003916292420233683
0.02,1,seg1,-0.1514048727823167,-0.007829436283951854,0.08959284699598255,0.0005893198720229997,-0.004885290442526842,0.00376613028889472
0.02,2,seg2,-0.32759182286504496,-0.006157148049091089,0.08913825648531645,0.0011993132083989787,0.0009257786705833905,0.003309479542397256
0.02,3,seg3,-0.5019978490875687,-0.004286571028397815,0.08872108613639314,4.852903295109633e-06,0.0067575157883428905,0.0028905990706190182
0.02,4,seg4,-0.6766736855105816,-0.007743634124880045,0.08831659227684753,-0.000790915341587118,0.007092598273585802,0.0024843615296040733
0.02,5,seg5,-0.8525726262026757,-0.016934314428260936,0.08790301981754428,-0.00022868218288238357,0.0015782303822531815,0.0020690738653780377
0.02,6,seg6,-1.0191082224488477,-0.03338939551873158,0.08769558525247438,-0.008853951010399935,-0.011489405606295496,0.0018599223266535375
0.04,0,head,-0.03216778532591999,-0.013867005742832486,0.09188281063383995,0.03249861275062922,-0.013758811959733325,0.0045232294052854755
0.04,1,seg1,-0.1577002107752109,-0.016632602471211552,0.09014404579161746,0.007092376654295736,-0.01353614403303309,0.004317329084529628
0.04,2,seg2,-0.33297417372026233,-0.0012480735703093286,0.08903711874376197,0.006463311255069165,0.005961554433024302,0.0032083418008427705
0.04,3,seg3,-0.5024112780391626,0.010915438668528388,0.08810471899634295,5.638037978976325e-05,0.021965058891737364,0.002274231930568832
0.04,4,seg4,-0.6730575282630789,0.006301516862855178,0.08729531185026712,-0.004740301337999474,0.021047712381082273,0.001463081103023664
0.04,5,seg5,-0.8478021177381575,-0.01662054167522243,0.0865200515099179,-0.0050053068350622894,0.0017783835242469938,0.0006861055577516567
0.04,6,seg6,-0.9971524295649652,-0.05424403877173032,0.08640863989658636,-0.030307217156802953,-0.03286065634156218,0.0005729769707655125
0.06,0,head,-0.052390543097222506,-0.031501694039776644,0.0866779926486102,0.05313532134334877,-0.030907235257601348,-0.00068158857994427
0.06,1,seg1,-0.17035518857600473,-0.023602575735828427,0.08596125767174638,0.01990964488138701,-0.020202974285931548,0.00013454096465854992
0.06,2,seg2,-0.3438604737410758,0.007276847454838676,0.08634570434163016,0.01714364804933654,0.014743138150133825,0.0005169273987109674
0.06,3,seg3,-0.50385941757142,0.027153940959222574,0.08693682316933483,0.001117658457659249,0.038233425545788444,0.001106336103560715
0.06,4,seg4,-0.667282711140607,0.021325619489687073,0.0873970097813463,-0.010871033365296188,0.03593012809022986,0.0015647790341028478
0.06,5,seg5,-0.8397208997515583,-0.014316091257758875,0.08753248657118949,-0.013139078396617349,0.0038898607440941927,0.0016985406190232477
0.06,6,seg6,-0.9774977602540014,-0.0691339499314769,0.08803682096928944,-0.04960196288592127,-0.04821410114358493,0.0022011580434685984
0.08,0,head,-0.0665097823705802,-0.04235920590357894,0.09173327622103522,0.06750895375210898,-0.04142565590326108,0.004373694992480748
0.08,1,seg1,-0.18303178701307318,-0.02204863412328114,0.0899010579693979,0.03254567159498656,-0.018347789296034603,0.004074341262310072
0.08,2,seg2,-0.35405482515367837,0.021815167715695864,0.08848368112945479,0.026989122585073418,0.029519950657977814,0.002654904186535592
0.08,3,seg3,-0.5066018254166783,0.045063816856062214,0.08771072566658522,0.003433062167586484,0.05620349402339267,0.0018802386008111016
0.08,4,seg4,-0.6606377361823271,0.03554540002897965,0.08714380134433777,-0.017852535154243787,0.04998774110034478,0.0013115705970943164
0.08,5,seg5,-0.8283558402583275,-0.015667244598785393,0.08637721766374588,-0.024468763673037235,0.0022686191952343442,0.0005432717115796404
0.08,6,seg6,-0.9562031819860672,-0.08157489087319719,0.08654276942656369,-0.07059443482508782,-0.06115829663697979,0.000707106500742849
0.1,0,head,-0.08386967339969524,-0.05809152483499211,0.08796945178781064,0.08523833297707029,-0.056740380443799726,0.0006098705592561676
0.1,1,seg1,-0.19785142773555192,-0.02196732916393734,0.0881878542810131,0.047359180115026586,-0.01791382277328913,0.0023611375739252677
0.1,2,seg2,-0.3635550068918425,0.03731845188153771,0.09010526995796919,0.03611765939898169,0.045244933602906864,0.004276493015049995
0.1,3,seg3,-0.5090460189237842,0.0647832882619097,0.09153446965770179,0.0054072704187667475,0.07597554844893782,0.00570398259192767
0.1,4,seg4,-0.6585438149642696,0.050959992947487244,0.09170382382343589,-0.020312706859800862,0.06534813615016347,0.005871593076192436
0.1,5,seg5,-0.8185850414934195,-0.016199461107915463,0.08986621486306567,-0.03422412918658609,0.0015040234824872027,0.004032268910899431
0.1,6,seg6,-0.9391993187008242,-0.09241769739677787,0.08830456265816149,-0.08733544014677236,-0.0724026979428597,0.002468899732340643
0.12,0,head,-0.09628267075146507,-0.0644256527387575,0.09122909532609916,0.09779855715085242,-0.06277730418358025,0.003869514097544685
0.12,1,seg1,-0.20870548344414583,-0.014922502791340815,0.0905711963698906,0.0580425056991666,-0.010612681876185467,0.004744479662802767
0.12,2,seg2,-0.369751417343396,0.05558532982271163,0.09109010059648714,0.04187759136266531,0.0636541029479689,0.005261323653567948
0.12,3,seg3,-0.5132191698821748,0.08597192815520013,0.0916389451358382,0.009074982496062103,0.09725750177956671,0.005808458070064082
0.12,4,seg4,-0.6584424315016877,0.06623560699187656,0.0915583112959081,-0.02077759766047052,0.08061701101315448,0.00572608054866465
