trial,command_name,cmd_vx_m_s,cmd_vy_m_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,score,planar_error_m_s,projected_speed_m_s,vx_progress_m_s,vy_progress_m_s,vx_deficit,vy_deficit,yaw_penalty,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,forward_right,0.25,-0.15,0.09680214668704211,-0.03051298330908718,-0.03340383849005931,3.0,False,0.3465341031551361,-0.5598195799405574,0.19428517549569507,0.09870595637588293,0.09680214668704211,0.03051298330908718,0.0,0.0,0.16701919245029653,-0.5,0.45,1.0,1.0,3.141592653589793,0.45,1.0,1.0,0.0,0.0,0.0
1,forward_right,0.25,-0.15,0.10120451470131316,-0.15311790992170152,-0.6073056453490677,3.0,False,0.8119795322418213,-1.14925147905604,0.14882814857261237,0.165560670141197,0.10120451470131316,0.15311790992170152,0.0,0.0,3.0365282267453386,-0.9562749385386133,0.1582078794976557,0.7385701464801376,1.73953364981198,-0.08956232811565057,0.8892262415584421,0.5553086347739061,-0.6537373440171725,-3.1243460562470973,0.39065035589571817,0.5789459268281543
2,forward_right,0.25,-0.15,0.1380777576418352,-0.012900760830781075,0.06407855364693911,3.0,False,0.6534190773963928,-0.8541170170750815,0.17698245595329068,0.12503808706534741,0.1380777576418352,0.012900760830781075,0.0,0.5699746389739642,0.32039276823469554,-0.7815811831384867,0.8741110360904617,0.33695321967388203,0.5178622697338646,1.6307164679001795,0.622549548328772,0.9980544077959049,1.0416289574382382,-0.8464271995508508,0.07049226781234452,-0.3151374229935877
3,forward_right,0.25,-0.15,0.14697717109682074,0.03614421513109,0.8476306656602043,3.0,False,0.2368668019771576,-3.575120389862369,0.21275190269885547,0.10743583918856082,0.14697717109682074,-0.03614421513109,0.0,2.2048071710363337,4.2381533283010215,-0.226456654313138,0.29631237051550985,1.0377594179375662,-0.8891500000657073,-2.7058441123253116,0.1463342768007433,0.17291386713783058,-0.16544752229967852,-1.876981675932055,0.5409161594670504,-0.6013652397521825
4,forward_right,0.25,-0.15,0.028270364815913645,0.030878842186349537,0.10478794858557731,3.0,False,0.3532468378543854,-3.2617816550012146,0.28614888898883106,0.008354604599565484,0.028270364815913645,-0.030878842186349537,0.6466204398010794,2.0292947395449845,0.5239397429278866,-0.5593576517853,0.3859991736796148,0.8329186036377071,0.3122783955135664,1.5936311902322275,0.11371753722318334,0.4535221679429602,2.714483718624903,2.4120368844707007,0.233274502067372,0.23228220119285292
5,forward_right,0.25,-0.15,0.10915455109790989,-0.04385305889856031,-0.6168086480971091,3.0,False,0.4074100852012634,-1.445291491080971,0.17636500101103897,0.11616146804160878,0.10915455109790989,0.04385305889856031,0.0,0.0,3.0840432404855456,-0.5459186131691672,0.31779406411495636,1.0288385031129228,-1.9795822182589229,2.4121422605108167,0.1378423959166133,0.8394555655176987,-1.3029667570133203,1.7265152897360672,-0.5047600038488718,0.18478866817825856
6,forward_right,0.25,-0.15,0.07422545688084382,0.03663568247531073,0.3651603830078554,3.0,False,0.49507904052734375,-3.1998438107494143,0.2563777837133575,0.04479890105236708,0.07422545688084382,-0.03663568247531073,0.07218178898945223,2.2211894158436913,1.825801915039277,-0.6379005446484615,0.8151561871913064,0.5261613047754831,-1.8932346250836556,-1.1101537837518785,0.03744466095199894,0.8243966454428423,-0.20485706404590953,0.6743233448125392,0.2905503107394608,-0.1683302061625025
7,forward_right,0.25,-0.15,0.026267004442386693,-0.011412415612267711,-0.037093171712022865,3.0,False,0.37633252143859863,-2.007287170813315,0.26317859306488023,0.028395409880693136,0.026267004442386693,0.011412415612267711,0.6716624444701663,0.619586146257743,0.18546585856011433,-0.39917251888918137,0.8485180060952555,0.2668258550037051,-2.157387209392789,2.5653028580139825,0.030656063555768998,1.2239055707834456,1.9573418643754623,3.0017880852233496,-0.1416665965003412,-0.2399208802121649
8,forward_right,0.25,-0.15,0.03094504756683122,0.06479679642735094,0.2868732127528017,3.0,False,0.5365527272224426,-4.49261736622765,0.306794289289991,-0.006802517352777621,0.03094504756683122,-0.06479679642735094,0.6131869054146097,3.1598932142450313,1.4343660637640083,-0.4565628803013263,0.9491629327327067,0.7379768826208807,-0.0208367475201352,-0.38531576626367814,0.2790716204620963,0.5947034743344023,1.2925936895531729,1.2512300436214314,0.025158234683923975,-0.5228330859990209
9,forward_right,0.25,-0.15,-0.002472664160445265,-0.05020952971598672,-0.03653215770090679,3.0,False,0.13653817772865295,-1.8709198706299388,0.2714785150021591,0.023712297895642664,-0.002472664160445265,0.05020952971598672,1.0309083020055658,0.0,0.18266078850453393,-0.10239809556893797,0.08191519468339925,0.7065819196422576,-2.888937076386232,-0.48669589453229145,0.6464517961163643,1.3133808713341282,1.831377123109851,0.16907500603957715,0.13831532613557307,0.37186890451948096
10,forward_right,0.25,-0.15,0.021652278644418554,0.01721177746377432,0.2856209870840572,3.0,False,0.21740545332431793,-3.296480539855581,0.2830237805748504,0.009711289314670662,0.021652278644418554,-0.01721177746377432,0.729346516944768,1.573725915459144,1.428104935420286,-0.4276536201142316,0.22740938843323955,0.6790909014136978,-1.8202978629944588,-1.6021463004997285,0.217832786255594,0.7266332262192773,-1.1528197711533688,-2.536121498053857,-0.027152727237425456,-0.46323242602432163
11,forward_right,0.25,-0.15,0.043951037699887924,-0.07439837907051937,-0.22959328008081462,3.0,False,0.1940920054912567,-1.4015552454210942,0.2194807051932308,0.07596535414784956,0.043951037699887924,0.07439837907051937,0.45061202875140094,0.0,1.147966400404073,-0.3815622302663444,0.2446931906758053,0.38408795609005364,1.8876258429551074,0.3905952193044957,0.43237438461536226,0.6113248816310325,1.8723921185913035,1.9782444957941765,-0.1252197099094272,0.0205720245430433
12,forward_right,0.25,-0.15,0.020260351457030385,0.02345127498022187,0.1833964400422762,3.0,False,0.14163273572921753,-3.30969658223646,0.2878639451284439,0.00530752661016549,0.020260351457030385,-0.02345127498022187,0.7467456067871202,1.7817091660073956,0.916982200211381,-0.14002783065527147,0.589243450764198,0.8866218232599902,-1.1087714924908971,1.4363318506694913,0.2315684510359205,0.15701567535558958,-2.068300445821275,-1.2786462140817452,0.11729624386210447,-0.1832212535084029
13,forward_right,0.25,-0.15,0.08007009677069228,-0.06699447152421202,-0.361007152179005,3.0,False,0.5213392376899719,-1.0993055626332473,0.18911924748440265,0.10312791277830485,0.08007009677069228,0.06699447152421202,0.0,0.0,1.8050357608950247,-0.4719854038443969,0.6215171928407222,0.5339204411290973,-0.5171934371549005,-1.4896031885074548,0.22723577646090798,0.5409429167530396,2.0751243369704664,2.8165729086613656,-0.42050275390686254,-0.16579027949971714
14,forward_right,0.25,-0.15,0.07896511730776465,-0.02790905774668476,-0.4718315122489725,3.0,False,0.33750954270362854,-1.5097685662280014,0.21014073683569556,0.08207112121812042,0.07896511730776465,0.02790905774668476,0.012936033652941915,0.06969807511050796,2.3591575612448623,-0.4611074582785807,0.3963230057495637,1.2418257337131358,-0.12334223207993844,0.6850878724754872,0.0016373244117062757,1.2847465576206418,0.6865932356890285,-1.3677067651679755,-0.3349464713398984,0.23698761045360728
15,forward_right,0.25,-0.15,0.06870337980059048,0.05915627420876477,0.5111884141997146,3.0,False,0.34028977155685425,-4.169612329328339,0.27679380689715755,0.02847701016423211,0.06870337980059048,-0.05915627420876477,0.14120775249261905,2.9718758069588254,2.5559420709985727,-0.45571409993319656,0.34800048010516227,0.12756800166763904,1.1650235317435689,-0.4768851877797413,0.2539999214610089,0.6617875613015131,2.502455843873875,-1.935428534055591,0.039446142730251044,-0.6588387963936787
16,forward_right,0.25,-0.15,0.10481387567671184,0.02650403268009287,0.6585948608217104,3.0,False,0.6508474349975586,-3.2023584598858577,0.22854470951731212,0.0762409445936743,0.10481387567671184,-0.02650403268009287,0.0,1.8834677560030957,3.2929743041085517,-0.8629723397035075,0.47539989418822404,1.4658521672856124,1.3909795720989884,-1.943446651321388,0.28189598934769555,0.11179238485459113,2.2752821141259503,0.12701062718247202,0.4722656279326938,-0.3177358928558453
17,forward_right,0.25,-0.15,0.08129740242868506,-0.04758796736609125,-0.47477265762865745,3.0,False,0.605954110622406,-1.3660328131306203,0.19735448020128105,0.09419575468068087,0.08129740242868506,0.04758796736609125,0.0,0.0,2.373863288143287,-0.9302025445334315,0.8161895351371871,0.05778799201398757,-0.3551359400779952,1.6330719963714841,0.10322246766565335,1.2999676162711427,1.4798985793187285,0.8865201508159659,-0.22965993180935979,0.39288425457318854
18,forward_right,0.25,-0.15,0.10417375405148648,0.030842785658034652,0.5773190249144194,3.0,False,0.5810872316360474,-3.1856645702280963,0.23231316607543837,0.07345977483744834,0.10417375405148648,-0.030842785658034652,0.0,2.028092855267822,2.886595124572097,-0.7443712546076517,0.5344771889175597,1.1369083879516393,-0.1600926736417252,1.885499555173876,0.20877697385639105,1.0282152741041146,-0.1581590030198079,0.910750500607624,0.45349830708814576,-0.018272408394674367
19,forward_right,0.25,-0.15,0.10436311588352609,0.06205981784666917,0.6309805436446206,3.0,False,0.35086771845817566,-4.164828864569102,0.25725370426938027,0.05756112071072534,0.10436311588352609,-0.06205981784666917,0.0,3.0686605948889722,3.154902718223103,-0.1988917488468579,0.447520827998777,0.832043549783426,0.10376500942538769,1.0306857873324828,0.6158521246182935,0.06888316321362499,-2.104860909036984,-0.6820722564642332,0.6083636612031116,-0.2637019784249525
20,forward_right,0.25,-0.15,0.06618978185993736,-0.026979430850218936,-0.48879646074502753,3.0,False,0.3985539376735687,-1.7606958243963489,0.22117924117473928,0.07063807235564089,0.06618978185993736,0.026979430850218936,0.172627726750783,0.10068563832603544,2.4439823037251376,-0.5170262627723747,0.33653346016844665,0.5602062013935479,0.18337171934779306,-2.049318667285702,0.5770792688623742,0.22995737214314688,-2.8674628519396634,2.0890551598039417,-0.09986653169381643,0.591882860878088
21,forward_right,0.25,-0.15,0.00014374572748308286,0.08878570330705944,0.3517831068761949,3.0,False,0.4833675026893616,-5.733747969807091,0.3456107057122792,-0.045556606549711644,0.00014374572748308286,-0.08878570330705944,0.9982031784064614,3.959523443568648,1.7589155343809744,-0.59467020051835,0.41910907998532765,1.2982362562606904,2.956798119983538,3.1195472025305397,0.5343766657543445,1.2578070066004938,-0.7852727978773313,2.569154875768648,-0.03247915665320866,-0.46317703637871943
22,forward_right,0.25,-0.15,0.10427273571964123,-0.0190411579980673,-0.43771001449366004,3.0,False,0.7628547549247742,-1.5366914085360253,0.19592512307798787,0.0992097281927166,0.10427273571964123,0.0190411579980673,0.0,0.3652947333977567,2.1885500724683,-0.9280066583401251,0.4926476783178656,1.4397749918016023,0.0684561504848622,-2.4139141966534807,0.3631523752868058,1.4710154321105113,1.875834344707636,-2.0991174393825385,-0.6961157067969433,0.23112219539318413
23,forward_right,0.25,-0.15,0.045084636268386546,0.01937304291953761,0.09340979326189099,3.0,False,0.15779928863048553,-2.6655891228482362,0.2658524665318774,0.02869240830664727,0.045084636268386546,-0.01937304291953761,0.43644204664516817,1.6457680973179203,0.4670489663094549,-0.015394230005602916,0.2595057667642253,1.1669239435356555,-0.9756156906025542,0.01073736613224563,0.8174636833222465,0.1162809994147279,1.5848904708359548,-1.9977098255958627,0.2014739521972133,-0.1538956132339302
24,forward_right,0.25,-0.15,0.08547872858560988,-0.013043864897720981,-0.27461664039367406,3.0,False,0.3713843524456024,-1.5270235459798254,0.21406595172974408,0.08000841818531067,0.08547872858560988,0.013043864897720981,0.0,0.5652045034093005,1.3730832019683703,-0.3665709966070184,0.7509728778314866,0.6521544290714514,1.106588208058092,2.353574331510531,0.14846503509448505,0.7396145488730138,1.0828590728688186,-0.6849328051005861,-0.3724710424528571,0.05594963319385382
25,forward_right,0.25,-0.15,0.056688915600000105,-0.029714117435087534,-0.25386001430799937,3.0,False,0.728788435459137,-1.4264715877142737,0.22767931152461743,0.06389813138994319,0.056688915600000105,0.029714117435087534,0.2913885549999987,0.009529418830415508,1.2693000715399967,-0.971801432168014,0.6249420429570555,0.475968566055993,-1.6061729907457538,1.8396793342085047,0.3179092747950515,0.09374393154468666,2.236952760028151,-2.1765398332484995,-0.5186777859509092,-0.5507363069890364
26,forward_right,0.25,-0.15,0.09537636791813721,0.027974871211450796,0.5366707881582892,3.0,False,0.4227968156337738,-3.0800449341322156,0.23576157952668997,0.06739160827303638,0.09537636791813721,-0.027974871211450796,0.0,1.93249570704836,2.6833539407914455,-0.4466095781629834,0.5538261490997026,0.8422986875633399,-0.4510755964993711,2.0997065163718656,0.3944344331331502,0.18088080112753063,2.171527032217048,-2.2159722170561613,0.4802527801813734,-0.31904719231086137
27,forward_right,0.25,-0.15,0.11830250021716036,0.029237920846303122,0.637939140882653,3.0,False,0.6839169859886169,-3.169553815775135,0.22241956685138262,0.0864007708573728,0.11830250021716036,-0.029237920846303122,0.0,1.9745973615434376,3.189695704413265,-0.8685184327200233,0.0869606895015711,0.12294648344429614,0.41905602807753617,2.936316304910231,0.3192126637923134,0.38296851386384745,2.428988981670912,-2.636294233135531,0.58946640945691,-0.5305703062317844
28,forward_right,0.25,-0.15,0.0949064363785903,-0.0514964720669559,-0.615401560474875,3.0,False,0.3813760578632355,-1.5023062889566152,0.18373066834920146,0.10787631409716984,0.0949064363785903,0.0514964720669559,0.0,0.0,3.077007802374375,-0.36821162057855117,0.26671380165163916,1.4553023879083404,1.4100950215922854,-1.4702175001029107,0.970906170585985,0.09100142257219684,-1.6001739571513647,-2.6238896012392154,-0.6416629602857477,0.06084111290938743
29,forward_right,0.25,-0.15,0.20417928453075987,-0.08765454044579866,-0.7447618864692104,3.0,False,0.17539025843143463,-0.8833609106889697,0.07737243884703142,0.2201801810654892,0.20417928453075987,0.08765454044579866,0.0,0.0,3.7238094323460516,-0.15794511453049853,0.11299544077788382,0.08456520924581451,2.506766910712706,-1.9195973708931524,0.5490306209180492,0.35605252351491345,-0.5940097403675804,-2.5021677147913124,-0.4845662926934414,-0.4806846989301158
30,forward_right,0.25,-0.15,0.18099877555279664,-0.06866223041873395,-0.9707999266612409,3.0,False,0.33491745591163635,-1.5093942026140141,0.10666302890724819,0.19053159570778114,0.18099877555279664,0.06866223041873395,0.0,0.0,4.853999633306205,-0.15066698410297064,0.49437339014131554,0.17043968272150573,-1.3901513494529785,1.8642148261240674,0.6761596125528303,0.5545638787866167,-1.0360561836497477,0.49490523987087176,-0.6436225648015479,0.4093268358023332
31,forward_right,0.25,-0.15,0.015656974850277408,-0.09256785604625924,-0.7023782060260286,3.0,False,0.13621753454208374,-2.619953884034178,0.2412780648866505,0.06105151419699877,0.015656974850277408,0.09256785604625924,0.8042878143715324,0.0,3.511891030130143,-0.2978050936394544,0.06098065359439453,0.5393531956694776,0.870283957537767,-1.3799377588952113,0.5504952451293612,0.5729024088275024,-0.6065486753173652,0.7840138516717698,-0.32836367303513103,0.04289053844085111
32,forward_right,0.25,-0.15,0.056232334427150664,0.03243428109976586,0.22572695614015506,3.0,False,0.7692628502845764,-3.108069256888639,0.26613563298051607,0.03153152901141087,0.056232334427150664,-0.03243428109976586,0.2970958196606167,2.0811427033255288,1.1286347807007753,-0.8568575374583899,0.9367895560227394,0.07141255248216669,-2.598782771999321,0.7283678761555668,0.754908727957488,0.09038684888493381,1.1828031758062956,2.6401374759258527,0.566975408264113,0.14570020267673667
33,forward_right,0.25,-0.15,0.05446915568567715,-0.02499988957384498,-0.19714050750212664,3.0,False,0.4678176939487457,-1.4850953248742589,0.23207183949118623,0.059569252741903486,0.05446915568567715,0.02499988957384498,0.3191355539290356,0.16667034753850066,0.9857025375106332,-0.2954455805582302,0.9870593830778556,1.067886700158472,1.0397594822823208,-3.093708893744109,0.42005072424470535,0.23452252120768674,1.4081280570380548,-2.7655678745363677,-0.3568474685044386,-0.5546291576460954
