trial,command_name,cmd_vx_m_s,cmd_vy_m_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,score,planar_error_m_s,projected_speed_m_s,vx_progress_m_s,vy_progress_m_s,vx_deficit,vy_deficit,yaw_penalty,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,reverse_right,-0.25,-0.15,0.07967163686842904,0.011417763829655156,0.03526845318184805,3.0,False,0.3465341031551361,-4.260461161620668,0.3670682261314314,-0.07419225602144815,-0.07967163686842904,-0.011417763829655156,1.9958954608553632,1.3805921276551718,0.17634226590924024,-0.5,0.45,1.0,1.0,3.141592653589793,0.45,1.0,1.0,0.0,0.0,0.0
1,reverse_right,-0.25,-0.15,0.07999106534883606,-0.0192647711280326,-0.2004079728535526,3.0,False,0.67423415184021,-3.737693543513346,0.35494478905636223,-0.05868012968218121,-0.07999106534883606,0.0192647711280326,1.9998883168604507,0.3578409623989134,1.002039864267763,-0.8842617679963501,0.9611643829193074,0.40425964123078784,-2.2410166680256216,-2.633535004052785,0.26800483542456777,0.4103913922315717,0.7463935754885895,-0.4215558535300654,-0.5768463495719085,0.014114320118211454
2,reverse_right,-0.25,-0.15,-0.03194471766472512,0.06858032894203768,0.3144537044554321,3.0,False,0.5087074041366577,-4.631975677792669,0.30874822486084974,-0.007891918735115602,0.03194471766472512,-0.06858032894203768,0.600691029190936,3.286010964734589,1.5722685222771604,-0.5371251323712805,0.9074290794730425,1.3716815997892973,0.13222038533346137,-2.850920434611375,0.6892805220953383,0.8417041245748665,-1.1091380277426126,-2.602662533817554,0.09525119899698664,0.1941634894441432
3,reverse_right,-0.25,-0.15,0.09379733873009007,0.033968394433523806,0.3836593306020906,3.0,False,0.4706929624080658,-5.701745779933737,0.38992432633568896,-0.09790714916645149,-0.09379733873009007,-0.033968394433523806,2.1724667341261257,2.132279814450794,1.918296653010453,-0.6048875058073087,0.12150873670326157,0.13774657840966661,0.23863785964994122,0.3375303192244843,0.5090254848267607,0.7226300278112734,0.9324007770814404,1.9982169612260297,0.6418155499071485,-0.03786416513113444
4,reverse_right,-0.25,-0.15,0.08685579688971891,0.02407309422641336,0.17693723356324473,3.0,False,0.39920487999916077,-4.962955247377169,0.37917445856988485,-0.08686373618955613,-0.08685579688971891,-0.02407309422641336,2.0856974611214865,1.8024364742137788,0.8846861678162236,-0.30227961161819816,0.5074880680501886,0.5486051885938423,2.347441672848685,2.2804732800271603,0.5841484949632982,1.1042795436021702,0.9240852640966937,-0.8417461731259719,0.6420423876680719,-0.12280267141267565
5,reverse_right,-0.25,-0.15,0.09338683741930892,0.003491106626391209,0.2734305762868086,3.0,False,0.3254042863845825,-4.677079091388362,0.3761303496478702,-0.08187471198274811,-0.09338683741930892,-0.003491106626391209,2.1673354677413617,1.116370220879707,1.367152881434043,-0.004150482634744046,0.9618441306470747,0.2629594042605159,-2.0788166179671137,-0.7961769453111422,0.7132056089967939,1.095508671133397,1.4143479462257735,0.8072554010643107,0.2077678359457491,-0.10739432045281305
6,reverse_right,-0.25,-0.15,0.05413134263626985,0.011896907127535383,-0.0034424958435817685,3.0,False,0.5045649409294128,-3.8247585785330513,0.344538070626748,-0.052538151589755666,-0.05413134263626985,-0.011896907127535383,1.676641782953373,1.396563570917846,0.017212479217908843,-0.6945717273509932,0.12035505092478604,0.6676447391193294,-0.9051583236282119,-0.10172775357626529,0.780300199996331,0.2844436879962967,1.221135193989796,-2.5655536717587135,0.4618756209236019,0.3627854927645111
7,reverse_right,-0.25,-0.15,0.061670397315398286,-0.025069716708507325,-0.2621917817208323,3.0,False,0.4342889189720154,-3.398951013266095,0.3357767297565912,-0.03998366658753835,-0.061670397315398286,0.025069716708507325,1.7708799664424786,0.16434277638308914,1.3109589086041613,-0.5415641440272235,0.3332386453540015,1.3068866516748396,-1.703618816694187,0.7106517961900671,0.18858329393784234,1.0858625775906587,1.1553651025025555,-2.133295656258333,0.3114656414116337,0.6932861177584877
8,reverse_right,-0.25,-0.15,0.047319074404835626,-0.03766478966981106,-0.06661194372783985,3.0,False,0.5149469971656799,-2.6763160653525984,0.3178330245347012,-0.02119739713922373,-0.047319074404835626,0.03766478966981106,1.5914884300604455,0.0,0.33305971863919925,-0.5537193662286393,0.8480268776939868,1.4247126076648762,-2.5585274235137665,1.2301782729575832,0.6153984617082942,1.4108431279881266,0.05620328796536267,1.9101843777902898,0.17249477664043034,0.1635346734758789
9,reverse_right,-0.25,-0.15,0.04275474809360369,-0.03328657169711771,-0.36716687034352935,3.0,False,0.3982122242450714,-3.142866399762246,0.3151624452208121,-0.01953609417998595,-0.04275474809360369,0.03328657169711771,1.534434351170046,0.0,1.8358343517176468,-0.42843155760228835,0.6700589603894745,1.3401803903446599,2.3283204575429615,1.6813399969753,0.3050615110191023,0.2689111390142174,2.642879131802477,2.2315651178920968,-0.03420846969547919,0.5382008768117219
