trial,generation,command_name,cmd_vx_m_s,cmd_vy_m_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,score,planar_error_m_s,projected_speed_m_s,vx_progress_m_s,vy_progress_m_s,vx_deficit,vy_deficit,yaw_penalty,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,forward_left,0.25,0.15,0.2249620939961703,0.007542092166132577,-0.8562577568840335,3.0,False,0.38563448190689087,-1.975363969475068,0.1446414610043029,0.19678377856171486,0.2249620939961703,0.007542092166132577,0.0,0.7485969277955807,4.281288784420167,-0.667240952158396,0.0070873926351491525,0.7416852693149125,0.9900770825567928,1.099769887378172,0.5779117817847346,0.6908346131458576,-0.9548516553987976,-0.723443110040443,0.3902718618128098,0.053105600220439864
1,0,forward_left,0.25,0.15,0.02040704149979215,-0.044499514120443,-0.1386384538873419,3.0,False,0.49188414216041565,-3.8208368248405,0.30090361843282404,-0.0053959174127611274,0.02040704149979215,-0.044499514120443,0.744911981252598,2.4833171373481004,0.6931922694367094,-0.7699744029923972,0.293616635376027,1.3174617919546145,-0.7347285282272948,2.0914134949267886,0.34580932678141074,0.7627335657718887,2.931496723245382,2.9090425226585346,-0.18796481524610031,0.11345889763984718
2,0,forward_left,0.25,0.15,0.043098841157311656,0.014608812022618234,0.11469257625784657,3.0,False,0.519914984703064,-1.8007118714134225,0.24726274145607557,0.04447312317627909,0.043098841157311656,0.014608812022618234,0.46126448553360433,0.5130395992460588,0.5734628812892328,-0.8549133888873006,0.4720310513927957,0.25753032485502253,1.133082235759149,1.9275876584868241,0.0338559696028354,1.4993197163502598,2.8758257082116376,1.6621413169635613,0.04551783460236669,-0.13690427431095242
3,0,forward_left,0.25,0.15,0.05875099755186617,-0.013265866437595364,-0.025826170977666745,3.0,False,0.320646196603775,-2.1758117653899647,0.2514595873714602,0.04355333280506895,0.05875099755186617,-0.013265866437595364,0.2656125306016729,1.4421955479198454,0.12913085488833373,-0.5505374332523363,0.19515814610919163,1.2095944077810024,0.5056545265772838,1.8192105831238443,0.5887521906195863,1.0864107330807993,1.5193948292951358,0.22595638483007496,0.02134029451143027,0.12923488506626923
4,0,forward_left,0.25,0.15,0.12216747545089318,0.04681170316373634,0.5678670646870447,3.0,False,0.5623769760131836,-1.2674484387802165,0.16428322780054835,0.1288421685333775,0.12216747545089318,0.04681170316373634,0.0,0.0,2.8393353234352237,-0.5600213392646816,0.457219899121573,1.162502871671741,1.4380778782542532,1.501772328538589,0.8851777837400687,1.0565397243086485,2.1526694733094516,0.5779874174905446,0.4067341808251619,-0.24091214678974576
5,0,forward_left,0.25,0.15,0.03134069282137396,-0.012271838999334433,-0.028788302231847585,3.0,False,0.07197382301092148,-2.560859581669367,0.272294036563533,0.020560613304810536,0.03134069282137396,-0.012271838999334433,0.6082413397328256,1.4090612999778145,0.14394151115923792,-0.1173990792231463,0.28550937255564846,0.6983847618355681,2.036049584181577,2.9230100252024647,0.23893323627912652,1.0076038367177893,0.3060146946282227,0.26051392886026514,0.04489347142255806,0.26126306843933933
6,0,forward_left,0.25,0.15,-0.0035405963922458595,0.06380754725925376,0.19430489317281938,3.0,False,0.3784557580947876,-2.1245389275417024,0.26779091270691296,0.029792675869973185,-0.0035405963922458595,0.06380754725925376,1.0442574549030732,0.0,0.9715244658640968,-0.4107338127442437,0.8424092338903585,0.6012085974692463,2.669195950312491,1.174108714581461,0.12610250218778962,0.9177630878363486,-0.4420616259046226,-0.8499260360528469,0.11837599840418278,-0.06228133857327811
7,0,forward_left,0.25,0.15,0.08030596416125399,-0.11672612073877359,-0.582636848178209,3.0,False,0.3264683187007904,-5.774947618059116,0.3161311267237006,0.008806702493180421,0.08030596416125399,-0.11672612073877359,0.0,4.890870691292453,2.913184240891045,-0.4372672922357881,0.30163924714517426,0.9465391261077244,0.041507009954708796,2.2010619375024127,0.5339466871918906,0.9031081284848866,0.06530664030390643,-0.12453001277157227,0.3233524348472112,0.3037585620993677
8,0,forward_left,0.25,0.15,0.09088692296646901,0.024188222197278345,-0.17089409623147253,3.0,False,0.2641032040119171,-0.99964057825339,0.20284371993473146,0.09037963113536573,0.09088692296646901,0.024188222197278345,0.0,0.19372592675738845,0.8544704811573626,-0.3219503210943636,0.43247612473143054,1.3971212121758096,1.6969797453617135,2.913452031545285,0.5159205817608082,0.918777220465678,1.035643073954315,-0.4184542826007287,0.21723539715628548,0.1904984965615404
9,0,forward_left,0.25,0.15,0.2436254353210234,-0.1060527711702462,-0.8951780107704734,3.0,False,0.22919383645057678,-5.314473960210484,0.25613210790295093,0.15434338669299816,0.2436254353210234,-0.1060527711702462,0.0,4.53509237234154,4.475890053852367,-0.3037048230995313,0.49127853024066426,0.8047552780687715,-1.4271604579304347,2.6376029212511645,0.39213432623803535,0.8227537309779634,-0.06602451544283117,0.9645738512243724,-0.06442742437734206,0.194288962983162
10,1,forward_left,0.25,0.15,0.1146817224256375,0.06827426712265015,0.6009948609905722,3.0,False,0.35695093870162964,-1.2788707121060485,0.15808267349723104,0.13346558632804242,0.1146817224256375,0.06827426712265015,0.0,0.0,3.004974304952861,-0.43841546867601855,0.37758217143139994,1.0600813334828572,0.40312993534952746,2.8426762787500337,0.3472911357653128,1.0880696424302485,2.8614751983918527,-0.45315707711973596,0.42094365820253166,-0.31587746751776635
11,1,forward_left,0.25,0.15,0.10875337803233193,0.04560490010186204,0.4205276633465891,3.0,False,0.6061695218086243,-1.100749307248346,0.1756386776880865,0.11671877983917103,0.10875337803233193,0.04560490010186204,0.0,0.0,2.1026383167329454,-0.5862314077932336,0.5191465388332814,1.1768524855456102,2.431265350219201,1.9900317882690244,0.6744509308895941,1.193006128727416,0.7783782375556498,0.8910256315873699,0.6161369703925923,-0.1402204060938278
12,1,forward_left,0.25,0.15,0.01749832785388023,-0.045101637036889845,-0.15502826075359563,3.0,False,0.409733384847641,-3.9081928348526054,0.30351552896880923,-0.008199908471811686,0.01749832785388023,-0.045101637036889845,0.781270901826497,2.5033879012296616,0.7751413037679781,-0.4282773043137673,0.5283699293818379,1.4242706482305099,2.974917931562631,3.058370750220817,0.7209800189370029,1.4308914431848456,1.8008876217327199,-0.679870895767074,-0.15507389564068552,0.14395510113089216
13,1,forward_left,0.25,0.15,0.050766889327593184,-0.001685684075892348,-0.015068263584038752,3.0,False,0.1973952203989029,-1.9527002101403335,0.25040443115443245,0.042664971156804433,0.050766889327593184,-0.001685684075892348,0.3654138834050852,1.0561894691964115,0.07534131792019376,-0.18090121327663855,0.584647678845899,1.2053516738193615,2.9482740575820747,2.5298929790583875,0.47917134359656033,1.1695983843915314,1.350282236857903,-0.7369273294470027,-0.04979069311058726,0.10429513726136985
14,1,forward_left,0.25,0.15,0.0707413685105586,0.018409039287739373,-0.020470315470670315,3.0,False,0.3273940980434418,-1.1067075294261903,0.22237319511272727,0.07013159562806863,0.0707413685105586,0.018409039287739373,0.11573289361801758,0.38636535707535424,0.10235157735335157,-0.5793486745114756,0.3404806373053921,1.4709187015057006,2.4299116147439035,3.140623084908076,0.21935321399342822,0.6745782178197622,1.1061740502762607,2.045326301342496,-0.06449082285619823,0.09876347146626041
15,1,forward_left,0.25,0.15,0.227478088839681,0.08847098315163149,0.6955104302053714,3.0,False,0.4179198443889618,-0.6812439508668523,0.0655214193729052,0.24057879724465073,0.227478088839681,0.08847098315163149,0.0,0.0,3.477552151026857,-0.6733249607792228,0.03711371246714378,0.5242153377343965,2.7579833615419362,2.42364928968409,0.5386010177701209,1.2717563950753366,0.07422169016153868,0.744533578528161,0.33665681304464834,0.015022792209829383
16,1,forward_left,0.25,0.15,0.11258507787586104,0.04117528706476793,0.5520602079305927,3.0,False,0.5322568416595459,-1.3244942526582613,0.17528741816747384,0.11772541824267975,0.11258507787586104,0.04117528706476793,0.0,0.0,2.7603010396529637,-0.494271316380977,0.6207608445121304,1.071559637976839,-0.18903578956931977,3.0007999463581205,0.7851791609051082,1.2629367422858426,1.6242804615405637,1.3374901767116372,0.1920955158770813,-0.4988696580656164
17,1,forward_left,0.25,0.15,0.08662945570036516,0.04783064979520285,0.4208536752755876,3.0,False,0.341545969247818,-1.2302665710175955,0.19268759914958053,0.09889281172036374,0.08662945570036516,0.04783064979520285,0.0,0.0,2.104268376377938,-0.504007429498839,0.28791476979682473,1.469117637295039,1.5219846343592867,3.0811174083314885,0.5615627937048844,1.2114313655158406,1.3685597407048933,1.1415238823141278,0.21980423561704354,-0.21179396604353495
18,1,forward_left,0.25,0.15,0.05644912833383405,0.04920799770972942,0.20779886325765062,3.0,False,0.21427810192108154,-1.2567595562911231,0.2182222895316025,0.07372203416364546,0.05644912833383405,0.04920799770972942,0.29438589582707436,0.0,1.0389943162882531,-0.34818519201362996,0.17014258957202805,0.9368404991628473,0.7048347992768837,2.357950367597623,0.37993449689449965,1.3164226027853205,1.6310355446768998,1.4202338739959526,0.3891186694546309,0.21229344162191888
19,1,forward_left,0.25,0.15,0.20918465700735853,0.14204077994760278,0.7476185306019237,3.0,False,0.6994825601577759,-0.6347034545040132,0.04158414851177609,0.25245374193207193,0.20918465700735853,0.14204077994760278,0.0,0.0,3.7380926530096183,-0.8933968058727351,0.5846095134322443,1.0711722067497127,0.6316462331042176,2.7519191579862765,0.4969619672841821,1.2341365621574583,-0.14638355259245284,1.8844227080885778,0.42441833620386893,0.12297175249354009
20,2,forward_left,0.25,0.15,0.20491519752254375,0.005164800669103101,0.905301510500878,3.0,False,0.7299094200134277,-2.2169234724638076,0.1516900602533069,0.17837060026845275,0.20491519752254375,0.005164800669103101,0.0,0.8278399776965634,4.52650755250439,-0.9588462241455226,0.5906758672868566,0.9343287556255481,2.636847584462002,3.1397299407124075,0.7807947047292912,0.6677666957642429,-1.0042480144808508,0.887319620424897,0.38848308176189494,-0.1187173634488089
21,2,forward_left,0.25,0.15,0.10647114861006667,0.08195647778631783,0.3105781319833447,3.0,False,0.4891413748264313,-0.7765400610517862,0.15884096479358661,0.13346451667647205,0.10647114861006667,0.08195647778631783,0.0,0.0,1.5528906599167236,-0.6469905553457573,0.4789219523519118,0.5819504033189504,2.572022689089989,2.6025328340606606,0.4420762901221493,1.1817606731338643,1.8709172845283257,2.47047148954206,0.3033689575886074,-0.11123248998428925
22,2,forward_left,0.25,0.15,0.10351148040887538,0.07197821856276145,0.20269236341572952,3.0,False,0.6638233661651611,-0.6481158410516735,0.16597073462101541,0.12579285011441882,0.10351148040887538,0.07197821856276145,0.0,0.0,1.0134618170786476,-0.8358799788935717,0.5623268224288185,0.8412000754410279,1.9477687693859487,1.9304147096181126,0.7203569362164081,1.0410673594976239,0.17160388685279804,-0.21173295167600914,0.3275904858233871,-0.1674892324059304
23,2,forward_left,0.25,0.15,0.05213591007117943,-0.16215343823113695,-0.6641821355061598,3.0,False,0.3917388319969177,-7.6149213440125,0.3695807991263624,-0.03872108163627781,0.05213591007117943,-0.16215343823113695,0.3483011241102571,6.405114607704565,3.3209106775307986,-0.4661134173799837,0.3324436517636717,1.0965341080842645,2.1333687344731675,2.212331826992334,0.7504050134655791,0.9440196492117677,-0.4754995388977097,0.7694912273100964,0.07432915127245066,0.415863074797014
24,2,forward_left,0.25,0.15,0.1994374453387352,0.015096289595828085,-0.6962799895856501,3.0,False,0.5582215189933777,-1.5818727929239484,0.14406798053240724,0.17878317541990596,0.1994374453387352,0.015096289595828085,0.0,0.4967903468057305,3.4813999479282502,-0.5753605135188498,0.4298271808492271,0.778179837485542,2.403249196883233,2.5493558914918397,0.9451093001311448,1.032174569451034,-0.5666952909887284,1.577890244751992,0.4626969836583088,0.05798597661426119
25,2,forward_left,0.25,0.15,0.3051563664570474,0.01916765167237573,-0.8623845818097897,3.0,False,0.4557383358478546,-1.4484480299796545,0.14198354879937644,0.27153110090001353,0.3051563664570474,0.01916765167237573,0.0,0.3610782775874757,4.311922909048948,-0.4252498344122093,0.6125667880144352,1.1469975457690744,2.2483088656201726,3.0805386573463025,0.6610276457035368,1.3790775745767783,-0.5059458415967026,-1.3371739297837055,0.45094838612639077,-0.108493133457093
26,2,forward_left,0.25,0.15,0.209380408074704,0.042868592394042705,0.9037674875091449,3.0,False,0.5490614175796509,-1.392329026482938,0.1145735124006039,0.20159792753475209,0.209380408074704,0.042868592394042705,0.0,0.0,4.5188374375457245,-0.6493095473618328,0.32459043347494476,0.9062810572918033,1.7400834718811273,2.740608369753839,0.6608251457608024,0.8024088932524592,-1.086057339192491,1.0910379223758309,0.4925507118155865,0.06888217117215478
