label,scan_path,analysis_path,accepted,failed_conditions,dominant_failure_group,adapter_version,gait_prior_scale,policy_residual_scale,gait_blend,num_commands,planar_rmse_m_s,yaw_rmse_rad_s,wrong_planar_sign_count,wrong_yaw_sign_count,planar_error_exceed_count,off_axis_exceed_count,fixed_lateral_strict_gate_passed,counter_cmd_vx_m_s,counter_cmd_vy_m_s,counter_cmd_yaw_rad_s,counter_body_vx_m_s,counter_body_vy_m_s,counter_yaw_rate_rad_s,counter_planar_sign_ok,counter_mean_prior_component_l2,counter_mean_residual_component_l2
v89a_best_nominal,record\current\flat_omni_v89a_server_robust_forward_diag_scan\best_nominal_scan.json,record\current\flat_omni_v89a_server_robust_forward_diag_scan\best_nominal_scan_analysis.json,True,,mixed_vx_vy,cmaes_tri_anchor_auto_gate_directional_v37,1.0,0.35,,35,0.0609153495695174,0.018857486754914717,0,0,2,4,True,0.1,0.0,-0.1,0.06197219027836673,0.006329330978733249,0.07400506088107102,True,1.4663453241,0.1215067605
v89a_best_robust,record\current\flat_omni_v89a_server_robust_forward_diag_scan\best_robust_scan.json,record\current\flat_omni_v89a_server_robust_forward_diag_scan\best_robust_scan_analysis.json,False,wrong_planar_sign_count,mixed_vx_vy,cmaes_tri_anchor_auto_gate_directional_v37,1.0,0.35,,35,0.0617976684731428,0.01984926506960715,1,0,2,1,True,0.05,0.075,0.0,-0.03558865660888139,0.01424813657764717,0.020504524233933674,False,0.921458112,0.0731705924
v89a_final_nominal,record\current\flat_omni_v89a_server_robust_forward_diag_scan\final_nominal_scan.json,record\current\flat_omni_v89a_server_robust_forward_diag_scan\final_nominal_scan_analysis.json,True,,mixed_vx_vy,cmaes_tri_anchor_auto_gate_directional_v37,1.0,0.35,,35,0.05324366096395699,0.01921578563658695,0,0,0,2,True,0.1,0.0,-0.1,0.06473270518783722,0.013474336434711425,0.077977692143037,True,1.4657558107,0.1222894383
v89a_final_robust,record\current\flat_omni_v89a_server_robust_forward_diag_scan\final_robust_scan.json,record\current\flat_omni_v89a_server_robust_forward_diag_scan\final_robust_scan_analysis.json,False,wrong_planar_sign_count,mixed_vx_vy,cmaes_tri_anchor_auto_gate_directional_v37,1.0,0.35,,35,0.06322439170950758,0.020145507428337747,1,0,3,1,True,0.05,0.075,0.0,-0.040502388198139255,0.004618666578832029,0.016328149875578735,False,0.921458112,0.0735576522
